"chamber","CO2_treatment","Water_treatment","TBCA","Fs_resid","Cab","treatment"
"ch01","ambient","wet",14693.3020438753,11635.5623858985,12160.3685009436,"ambient-wet"
"ch02","elevated","dry",11802.3158354355,9599.8072979358,9223.41460240025,"elevated-dry"
"ch03","ambient","wet",6963.0729842983,5015.8253326564,14645.7354469151,"ambient-wet"
"ch04","elevated","wet",5993.97839948079,4752.3942359897,9122.18757968501,"elevated-wet"
"ch05","ambient","dry",11759.6875186435,10436.111582644,8025.56085333908,"ambient-dry"
"ch06","elevated","wet",5120.29986309965,4430.18997266481,4444.57207824839,"elevated-wet"
"ch07","ambient","dry",8926.21492862486,7290.93149077617,6469.68520555224,"ambient-dry"
"ch08","elevated","wet",12060.2770297443,9439.6531696817,8751.28912323298,"elevated-wet"
"ch09","ambient","dry",11610.1439741548,8794.8547779271,11240.3243094431,"ambient-dry"
"ch10","elevated","dry",6062.57928744401,3771.70433823223,7489.03509256519,"elevated-dry"
"ch11","ambient","wet",10962.1896716209,7858.7336865607,11070.1125888863,"ambient-wet"
"ch12","elevated","dry",3602.66386586912,2570.22145204009,5656.04785780783,"elevated-dry"
