"chamber","wf","wbr","wr","stem_mass_dry"
"ch01",6282.7,5917.3,8576.51,16108.3869145786
"ch02",4706.75,5091.26,6304,11012.3647297231
"ch03",6936.3,8476.6,6342.8,17233.1152982603
"ch04",4395.5,4203.56,3955.6,9261.61580146489
"ch05",4135,4924.5,5360.3,10224.8308698813
"ch06",2329.5,1568.06,2369.6,5227.99042909012
"ch07",4064.7,3361.6,5153.1,8828.09152224334
"ch08",5677.4,4420.03,7357.2,10674.9967018775
"ch09",5772.4,7469,8401.5,13646.02668386
"ch10",4542.51,3405.4,6077.2,8400.817892439
"ch11",4837.8,3745.6,7881.5,15315.0828628693
"ch12",3067.8,2464.84,3215.8,6090.17195182493
