"chamber","Date","branch_mass"
"ch01",2008-04-15,1369.66651463123
"ch02",2008-04-15,820.569849711453
"ch03",2008-04-15,1130.34379336614
"ch04",2008-04-15,662.130139114556
"ch05",2008-04-15,1345.1089164956
"ch06",2008-04-15,365.680086789676
"ch07",2008-04-15,884.052967851831
"ch08",2008-04-15,1250.1939896159
"ch09",2008-04-15,1605.18889575498
"ch10",2008-04-15,630.904785077701
"ch11",2008-04-15,682.467536113575
"ch12",2008-04-15,303.895582390725
"ch01",2008-09-17,1548.10873894646
"ch02",2008-09-17,1060.97137018334
"ch03",2008-09-17,1614.33791819929
"ch04",2008-09-17,649.82910502313
"ch05",2008-09-17,1503.33081518729
"ch06",2008-09-17,407.038828134539
"ch07",2008-09-17,1013.87755947043
"ch08",2008-09-17,1387.11655823356
"ch09",2008-09-17,2302.87450683746
"ch10",2008-09-17,732.477036917999
"ch11",2008-09-17,1029.73913324023
"ch12",2008-09-17,447.019109978132
"ch01",2008-10-28,2207.01365000147
"ch02",2008-10-28,1890.68120834349
"ch03",2008-10-28,2538.5316817005
"ch04",2008-10-28,1465.01281556428
"ch05",2008-10-28,2511.72813389578
"ch06",2008-10-28,625.948869541197
"ch07",2008-10-28,1645.49066874214
"ch08",2008-10-28,2093.23551692765
"ch09",2008-10-28,3634.26935832803
"ch10",2008-10-28,1475.55979252753
"ch11",2008-10-28,1755.65196237405
"ch12",2008-10-28,794.539742450493
"ch01",2008-11-19,3095.61907241784
"ch02",2008-11-19,2304.08995821942
"ch03",2008-11-19,3441.04319350806
"ch04",2008-11-19,1957.11540430455
"ch05",2008-11-19,2972.59338017911
"ch06",2008-11-19,847.089586359637
"ch07",2008-11-19,2009.34230974557
"ch08",2008-11-19,2367.7038183596
"ch09",2008-11-19,4293.55017438384
"ch10",2008-11-19,1858.60221287567
"ch11",2008-11-19,2091.30842920949
"ch12",2008-11-19,1288.94767122039
"ch01",2008-12-11,3427.47784424962
"ch02",2008-12-11,2898.77149357557
"ch03",2008-12-11,4386.11385575884
"ch04",2008-12-11,2108.37336027727
"ch05",2008-12-11,3130.0873299709
"ch06",2008-12-11,792.63601178031
"ch07",2008-12-11,2277.13255092217
"ch08",2008-12-11,2868.29314976845
"ch09",2008-12-11,4866.86210719202
"ch10",2008-12-11,2007.64343849944
"ch11",2008-12-11,2425.4766394391
"ch12",2008-12-11,1713.23597419381
"ch01",2009-01-08,4176.53976895604
"ch02",2009-01-08,3254.37663807977
"ch03",2009-01-08,5625.95896185022
"ch04",2009-01-08,2673.8879840753
"ch05",2009-01-08,3583.920238476
"ch06",2009-01-08,1150.74385017849
"ch07",2009-01-08,2613.04986394364
"ch08",2009-01-08,3321.92425644368
"ch09",2009-01-08,5350.19551330989
"ch10",2009-01-08,2457.42460253301
"ch11",2009-01-08,2731.45970709802
"ch12",2009-01-08,1997.82210599708
"ch01",2009-03-16,5917.3
"ch02",2009-03-16,5091.26
"ch03",2009-03-16,8476.6
"ch04",2009-03-16,4203.56
"ch05",2009-03-16,4924.5
"ch06",2009-03-16,1568.06
"ch07",2009-03-16,3361.6
"ch08",2009-03-16,4420.03
"ch09",2009-03-16,7469
"ch10",2009-03-16,3405.4
"ch11",2009-03-16,3745.6
"ch12",2009-03-16,2464.84
