"Date","chamber","bole_mass"
2008-03-11,"ch01",2236.01626905153
2008-03-11,"ch02",1194.76135522281
2008-03-11,"ch03",1907.06733517051
2008-03-11,"ch04",1085.1151520936
2008-03-11,"ch05",1792.64358968788
2008-03-11,"ch06",570.833408239979
2008-03-11,"ch07",1211.67392162393
2008-03-11,"ch08",1435.36329016956
2008-03-11,"ch09",1818.66931639653
2008-03-11,"ch10",687.11650070997
2008-03-11,"ch11",975.554498062574
2008-03-11,"ch12",515.54624438671
2008-03-18,"ch01",2458.398283868
2008-03-18,"ch02",1384.55358282853
2008-03-18,"ch03",2224.84997495687
2008-03-18,"ch04",1237.53058177726
2008-03-18,"ch05",2077.10136141633
2008-03-18,"ch06",675.56636878533
2008-03-18,"ch07",1360.48118887605
2008-03-18,"ch08",1734.80992607089
2008-03-18,"ch09",2066.03759008368
2008-03-18,"ch10",814.67881739619
2008-03-18,"ch11",1167.05446259719
2008-03-18,"ch12",611.946633857961
2008-03-25,"ch01",2750.38132367357
2008-03-25,"ch02",1577.14497408569
2008-03-25,"ch03",2459.5984281174
2008-03-25,"ch04",1328.79606063529
2008-03-25,"ch05",2378.05694935343
2008-03-25,"ch06",772.459445547851
2008-03-25,"ch07",1531.63443399042
2008-03-25,"ch08",1864.12795286765
2008-03-25,"ch09",2315.39670415182
2008-03-25,"ch10",901.358719604505
2008-03-25,"ch11",1331.88941784518
2008-03-25,"ch12",698.720406698643
2008-09-17,"ch01",6194.81809864023
2008-09-17,"ch02",4189.02975334726
2008-09-17,"ch03",6466.86514977266
2008-09-17,"ch04",3610.5771566252
2008-09-17,"ch05",6497.7077538139
2008-09-17,"ch06",1793.73241788917
2008-09-17,"ch07",5067.13562400349
2008-09-17,"ch08",4839.46777185863
2008-09-17,"ch09",6558.34065319905
2008-09-17,"ch10",3417.64782861809
2008-09-17,"ch11",5697.1706864345
2008-09-17,"ch12",2457.84228758692
2008-12-09,"ch01",12731.6996302219
2008-12-09,"ch02",8583.73835304915
2008-12-09,"ch03",11600.4439581545
2008-12-09,"ch04",6811.90266627472
2008-12-09,"ch05",10074.9967460001
2008-12-09,"ch06",3684.57990751187
2008-12-09,"ch07",8196.32210252547
2008-12-09,"ch08",8572.9031321379
2008-12-09,"ch09",11635.9523387997
2008-12-09,"ch10",6911.44544843617
2008-12-09,"ch11",11533.8382965743
2008-12-09,"ch12",4857.64423378868
2009-01-20,"ch01",15640.3338714098
2009-01-20,"ch02",10685.9214815539
2009-01-20,"ch03",14642.6790636876
2009-01-20,"ch04",8972.31724111417
2009-01-20,"ch05",11027.6975541793
2009-01-20,"ch06",5269.73424636506
2009-01-20,"ch07",9139.1212262982
2009-01-20,"ch08",10776.1438617903
2009-01-20,"ch09",13736.1862893477
2009-01-20,"ch10",7913.063921022
2009-01-20,"ch11",14674.8261622138
2009-01-20,"ch12",5888.59278465812
2009-03-16,"ch01",20251.6837688559
2009-03-16,"ch02",13903.1390919999
2009-03-16,"ch03",20650.6584293867
2009-03-16,"ch04",12407.0033695894
2009-03-16,"ch05",12925.1583790271
2009-03-16,"ch06",7573.95178395554
2009-03-16,"ch07",12080.0818399313
2009-03-16,"ch08",14517.1287166575
2009-03-16,"ch09",18059.8535083973
2009-03-16,"ch10",10278.0764320721
2009-03-16,"ch11",19597.3589723597
2009-03-16,"ch12",8195.3226961913
