"treatment","sla_wm.mean","sla_wm.se"
"ambient-dry",83.1788595271111,3.25809147374981
"ambient-wet",87.9082424764444,2.78836240925392
"elevated-dry",70.5969946097778,3.5990718845315
"elevated-wet",81.8150414224445,6.05298492061114
