"chamber","leafmass","leafcarbon"
"ch01",6635.46,3340.5559824
"ch02",5028.03,2512.54849125
"ch03",7803,3888.495
"ch04",4998.06,2604.80144475
"ch05",4607.84,2322.6739088
"ch06",2773.42,1442.92568258029
"ch07",4310.75,2223.73631041667
"ch08",6201.98,3027.08307166666
"ch09",6721.84,3382.009773
"ch10",4806.02,2419.4706185
"ch11",5209.33,2533.48529372339
"ch12",3510.8,1764.38179666667
