"Date","chamber","bole_mass"
2008-07-01,"ch03",4320.36593525756
2008-07-16,"ch03",4638.56515750737
2008-07-29,"ch03",4690.18682578525
2008-08-20,"ch03",4976.5208988364
2008-09-17,"ch03",6947.49641854953
2008-10-01,"ch03",7097.47281702947
2008-10-14,"ch03",7808.8965785052
2008-10-28,"ch03",8247.08634620741
2008-11-11,"ch03",8840.84111137753
2008-12-09,"ch03",12462.6137991599
2008-12-23,"ch03",10727.0765288935
2009-01-05,"ch03",11553.319780602
2009-01-20,"ch03",15730.954333649
2009-02-03,"ch03",13053.0537298533
2009-02-17,"ch03",13669.3034246907
2009-03-16,"ch03",22185.4595938029
2008-01-16,"ch04",206.938143101656
2008-02-21,"ch04",6.1449074089233e-06
2008-03-04,"ch04",1035.91358896585
2008-03-11,"ch04",1167.14100781587
2008-03-14,"ch04",858.872678305965
2008-03-18,"ch04",1331.07780094279
2008-03-25,"ch04",1429.24220567684
2008-03-31,"ch04",1490.91236514217
2008-04-08,"ch04",1612.21280937008
2008-04-15,"ch04",1751.37028499832
2008-04-22,"ch04",1856.85533764031
2008-04-29,"ch04",1935.31601541709
2008-05-06,"ch04",1953.79351221696
2008-05-20,"ch04",2170.64671093964
2008-06-02,"ch04",2388.62901495977
2008-06-16,"ch04",2493.30967432895
2008-07-01,"ch04",2574.0681751179
2008-07-16,"ch04",2738.11714806464
2008-07-29,"ch04",2845.26435355534
2008-08-20,"ch04",3147.88898444571
2008-09-17,"ch04",3883.5073432068
2008-10-01,"ch04",4514.91704376804
2008-10-14,"ch04",4953.75514226877
2008-10-28,"ch04",5283.13515150588
2008-11-11,"ch04",5662.25021596726
2008-12-09,"ch04",7326.82695262339
2008-12-23,"ch04",7069.29830598943
2009-01-05,"ch04",7624.47088296326
2009-01-20,"ch04",9650.55124982193
2009-02-03,"ch04",8445.02974101052
2009-02-17,"ch04",8758.42747449323
2009-03-16,"ch04",13344.8716376492
2008-01-16,"ch05",300.547597965593
2008-02-21,"ch05",593.662278065691
2008-03-04,"ch05",1644.35454583703
2008-03-11,"ch05",1930.54897709361
2008-03-14,"ch05",994.464237990404
2008-03-18,"ch05",2236.88965931048
2008-03-25,"ch05",2560.99731003638
2008-03-31,"ch05",2660.6095267464
2008-04-08,"ch05",2764.98142486638
2008-04-15,"ch05",3126.30270858409
2008-04-22,"ch05",3177.16813511609
2008-04-29,"ch05",3404.62745020521
2008-05-06,"ch05",3342.37389140737
2008-05-20,"ch05",3645.48261521263
2008-06-02,"ch05",3975.64687881803
2008-06-16,"ch05",4141.38259843214
2008-07-01,"ch05",4413.6517087576
2008-07-16,"ch05",4711.33642638985
2008-07-29,"ch05",4861.44828367626
2008-08-20,"ch05",4677.99621741167
2008-09-17,"ch05",6997.56668293597
2008-10-01,"ch05",6840.6757223194
2008-10-14,"ch05",7459.3945085861
2008-10-28,"ch05",7840.23311938622
2008-11-11,"ch05",8199.35508119142
2008-12-09,"ch05",10850.051161368
2008-12-23,"ch05",9024.72944569135
2009-01-05,"ch05",9241.57004095606
2009-01-20,"ch05",11876.0418163352
2009-02-03,"ch05",9411.81889877611
2009-02-17,"ch05",9594.69166128162
2009-03-16,"ch05",13919.471461557
2008-01-16,"ch06",118.1779778829
2008-02-21,"ch06",288.67259672391
2008-03-04,"ch06",513.401687504817
2008-03-11,"ch06",595.292026688244
2008-03-14,"ch06",404.693567505796
2008-03-18,"ch06",704.512502301843
2008-03-25,"ch06",805.557176992242
2008-03-31,"ch06",817.586243943776
2008-04-08,"ch06",912.496475616198
2008-04-15,"ch06",989.468313549742
2008-04-22,"ch06",970.328700669177
2008-04-29,"ch06",1066.44317899087
2008-05-06,"ch06",1035.3618128878
2008-05-20,"ch06",1230.48082225688
2008-06-02,"ch06",1334.67004980512
2008-06-16,"ch06",1362.29972005425
2008-07-01,"ch06",1394.64898952934
2008-07-16,"ch06",1512.25236081425
2008-07-29,"ch06",1514.79912554367
2008-08-20,"ch06",1584.07349991779
2008-09-17,"ch06",1870.58884600662
2008-10-01,"ch06",2105.78740143744
2008-10-14,"ch06",2346.0792351369
2008-10-28,"ch06",2533.58750318178
2008-11-11,"ch06",2779.79024183355
2008-12-09,"ch06",3842.45387353961
2008-12-23,"ch06",3538.33247122312
2009-01-05,"ch06",3824.79306643446
2009-01-20,"ch06",5495.52765192799
2009-02-03,"ch06",4405.94608318883
2009-02-17,"ch06",4510.89826936328
2009-03-16,"ch06",7898.47448034168
2008-01-16,"ch07",243.302346437973
2008-02-21,"ch07",459.554503559329
2008-03-04,"ch07",1108.45966683839
2008-03-11,"ch07",1253.90365399116
2008-03-14,"ch07",606.676089662501
2008-03-18,"ch07",1407.89721019298
2008-03-25,"ch07",1585.01555499792
2008-03-31,"ch07",1599.07910063381
2008-04-08,"ch07",1768.5248905781
2008-04-15,"ch07",1925.72946797991
2008-04-22,"ch07",2100.6723675243
2008-04-29,"ch07",2191.59862950623
2008-05-06,"ch07",2216.71586879715
2008-05-20,"ch07",2491.93878436307
2008-06-02,"ch07",2708.3461012328
2008-06-16,"ch07",2970.45852075027
2008-07-01,"ch07",3173.49316360773
2008-07-16,"ch07",3397.41956558877
2008-07-29,"ch07",3484.54110219281
2008-08-20,"ch07",3519.55523632277
2008-09-17,"ch07",5243.73741220021
2008-10-01,"ch07",5155.75972198071
2008-10-14,"ch07",5659.01865810733
2008-10-28,"ch07",6054.17974489638
2008-11-11,"ch07",6394.75289727746
2008-12-09,"ch07",8481.98351902385
2008-12-23,"ch07",7262.27299854926
2009-01-05,"ch07",7500.56044566729
2009-01-20,"ch07",9457.6414457818
2009-02-03,"ch07",7710.23591864445
2009-02-17,"ch07",7857.20606485621
2009-03-16,"ch07",12501.1015664191
2008-01-16,"ch08",301.315290808835
2008-02-21,"ch08",558.00700623792
2008-03-04,"ch08",1326.42063120259
2008-03-11,"ch08",1508.53455210478
2008-03-14,"ch08",875.545344043941
2008-03-18,"ch08",1823.24623510688
2008-03-25,"ch08",1959.15657430044
2008-03-31,"ch08",2064.37214597351
2008-04-08,"ch08",2271.79149090981
2008-04-15,"ch08",2452.81695326346
2008-04-22,"ch08",2621.97972296881
2008-04-29,"ch08",2829.93570805298
2008-05-06,"ch08",2811.69283496705
2008-05-20,"ch08",3080.47092855262
2008-06-02,"ch08",3296.63482059748
2008-06-16,"ch08",3502.25536404625
2008-07-01,"ch08",3704.71336925774
2008-07-16,"ch08",3937.58187265801
2008-07-29,"ch08",3888.31892810123
2008-08-20,"ch08",4198.24720972758
2008-09-17,"ch08",5086.17184070791
2008-10-01,"ch08",5516.9828054671
2008-10-14,"ch08",6182.91769542215
2008-10-28,"ch08",6726.26552244857
2008-11-11,"ch08",7045.82392771195
2008-12-09,"ch08",9009.92847960435
2008-12-23,"ch08",8398.56467805953
2009-01-05,"ch08",8924.91453283459
2009-01-20,"ch08",11325.484959311
2009-02-03,"ch08",9791.81504455128
2009-02-17,"ch08",10058.5337424852
2009-03-16,"ch08",15257.1759473125
2008-01-16,"ch09",353.351719357747
2008-02-21,"ch09",679.094037469714
2008-03-04,"ch09",1669.63218991148
2008-03-11,"ch09",1935.6540277988
2008-03-14,"ch09",892.914612866055
2008-03-18,"ch09",2198.9341035087
2008-03-25,"ch09",2464.33307910186
2008-03-31,"ch09",2495.29786372103
2008-04-08,"ch09",2690.62922465326
2008-04-15,"ch09",2946.79811325061
2008-04-22,"ch09",3197.11818053597
2008-04-29,"ch09",3477.20910888879
2008-05-06,"ch09",3438.80898732446
2008-05-20,"ch09",3719.24737231083
2008-06-02,"ch09",4044.82353732777
2008-06-16,"ch09",4371.81981224703
2008-07-01,"ch09",4591.71900188508
2008-07-16,"ch09",4885.30844360821
2008-07-29,"ch09",4986.32481826903
2008-08-20,"ch09",5067.86711274992
2008-09-17,"ch09",6980.20161586839
2008-10-01,"ch09",7076.36047270352
2008-10-14,"ch09",7836.8548529974
2008-10-28,"ch09",8554.51203281223
2008-11-11,"ch09",9140.22637440478
2008-12-09,"ch09",12384.4273441086
2008-12-23,"ch09",10974.6992808998
2009-01-05,"ch09",11508.4130672495
2009-01-20,"ch09",14619.7574665483
2009-02-03,"ch09",12156.5109358996
2009-02-17,"ch09",12470.7639307946
2009-03-16,"ch09",19221.5417447355
2008-01-16,"ch10",179.964467806394
2008-02-21,"ch10",330.099896063747
2008-03-04,"ch10",650.770231854399
2008-03-11,"ch10",744.297942056344
2008-03-14,"ch10",448.594370065243
2008-03-18,"ch10",882.475921620786
2008-03-25,"ch10",976.369275607531
2008-03-31,"ch10",1068.5531802318
2008-04-08,"ch10",1200.60968656332
2008-04-15,"ch10",1347.42917582137
2008-04-22,"ch10",1432.16953667668
2008-04-29,"ch10",1587.26545795861
2008-05-06,"ch10",1640.71615888521
2008-05-20,"ch10",1869.9068853571
2008-06-02,"ch10",2069.51107176688
2008-06-16,"ch10",2218.16589457131
2008-07-01,"ch10",2356.13711960309
2008-07-16,"ch10",2554.30784913603
2008-07-29,"ch10",2625.11635554797
2008-08-20,"ch10",2575.02655704615
2008-09-17,"ch10",3702.06252198197
2008-10-01,"ch10",4204.97728107321
2008-10-14,"ch10",4822.07812470921
2008-10-28,"ch10",5376.61450984634
2008-11-11,"ch10",5848.54199736017
2008-12-09,"ch10",7486.61197713992
2008-12-23,"ch10",6840.8189164643
2009-01-05,"ch10",6966.51668091108
2009-01-20,"ch10",8571.58456490481
2009-02-03,"ch10",7137.69093837962
2009-02-17,"ch10",7210.85348034533
2009-03-16,"ch10",11133.4120615422
2008-01-16,"ch11",145.032358096522
2008-02-21,"ch11",342.286347286875
2008-03-04,"ch11",871.897598045206
2008-03-11,"ch11",1041.07485497824
2008-03-14,"ch11",550.327870969851
2008-03-18,"ch11",1245.43637266091
2008-03-25,"ch11",1421.34200117367
2008-03-31,"ch11",1517.28445798378
2008-04-08,"ch11",1693.22973247636
2008-04-15,"ch11",1876.57341192645
2008-04-22,"ch11",2019.47421557529
2008-04-29,"ch11",2185.64183485426
2008-05-06,"ch11",2157.31837522266
2008-05-20,"ch11",2527.61296832184
2008-06-02,"ch11",2802.7754103346
2008-06-16,"ch11",3073.49010789673
2008-07-01,"ch11",3314.79707694963
2008-07-16,"ch11",3580.40662531438
2008-07-29,"ch11",3662.82009649559
2008-08-20,"ch11",3570.63739932886
2008-09-17,"ch11",6079.80503185139
2008-10-01,"ch11",5828.12088687873
2008-10-14,"ch11",6569.90675470459
2008-10-28,"ch11",7103.01083897646
2008-11-11,"ch11",7546.15120602134
2008-12-09,"ch11",12308.4759034942
2008-12-23,"ch11",9220.62609929892
2009-01-05,"ch11",9772.39982464697
2009-01-20,"ch11",15660.4193297233
2009-02-03,"ch11",10584.5570274018
2009-02-17,"ch11",9545.13877267268
2009-03-16,"ch11",20913.5601246516
2008-01-16,"ch12",92.6965766529066
2008-02-21,"ch12",255.485084340963
2008-03-04,"ch12",461.214299092005
2008-03-11,"ch12",527.70900526567
2008-03-14,"ch12",355.202358022531
2008-03-18,"ch12",626.383671581226
2008-03-25,"ch12",715.204610240917
2008-03-31,"ch12",788.914320071211
2008-04-08,"ch12",861.972439337028
2008-04-15,"ch12",959.634046326779
2008-04-22,"ch12",1021.03550690748
2008-04-29,"ch12",1121.35794650557
2008-05-06,"ch12",1122.68346573376
2008-05-20,"ch12",1280.79001854953
2008-06-02,"ch12",1416.54388457263
2008-06-16,"ch12",1549.45001079912
2008-07-01,"ch12",1611.03306962685
2008-07-16,"ch12",1748.19389719121
2008-07-29,"ch12",1807.17704926064
2008-08-20,"ch12",2005.27103146813
2008-09-17,"ch12",2515.82767366548
2008-10-01,"ch12",2803.6401829985
2008-10-14,"ch12",3181.48820926714
2008-10-28,"ch12",3485.01179164371
2008-11-11,"ch12",3785.58796970566
2008-12-09,"ch12",4972.24571890068
2008-12-23,"ch12",4838.1437845873
2009-01-05,"ch12",5.88733256121816e-06
2009-01-20,"ch12",6027.51639574672
2009-02-03,"ch12",5377.79085068722
2009-02-17,"ch12",5474.58657375133
2009-03-16,"ch12",8388.66665197603
