"Date","chamber","bole_mass"
2008-01-16,"ch01",313.971261093262
2008-02-21,"ch01",767.455856409247
2008-03-04,"ch01",2172.83556129987
2008-03-11,"ch01",2415.69883283057
2008-03-14,"ch01",1145.69003457667
2008-03-18,"ch01",2655.95109801759
2008-03-25,"ch01",2971.39741127891
2008-03-31,"ch01",2801.39400305371
2008-04-08,"ch01",2955.76537526127
2008-04-15,"ch01",3112.48206674268
2008-04-22,"ch01",3299.09693538204
2008-04-29,"ch01",3495.8401261093
2008-05-06,"ch01",3483.43815802797
2008-05-20,"ch01",3697.2740872929
2008-06-02,"ch01",3965.66113959062
2008-06-16,"ch01",4149.79909458169
2008-07-01,"ch01",4405.56196428125
2008-07-16,"ch01",4653.71533130726
2008-07-29,"ch01",4619.96466611582
2008-08-20,"ch01",4262.92079446542
2008-09-17,"ch01",6692.62342032539
2008-10-01,"ch01",6821.87025570545
2008-10-14,"ch01",7632.70832161008
2008-10-28,"ch01",8199.01582377935
2008-11-11,"ch01",8712.30556256082
2008-12-09,"ch01",13754.7979244902
2008-12-23,"ch01",10161.9062659594
2009-01-05,"ch01",10631.5304104793
2009-01-20,"ch01",16897.1651956144
2009-02-03,"ch01",11080.1380903756
2009-02-17,"ch01",11397.058015978
2009-03-16,"ch01",21879.0755328585
2008-01-16,"ch02",193.482695832428
2008-02-21,"ch02",509.473022694154
2008-03-04,"ch02",1125.08448085434
2008-03-11,"ch02",1305.00866058847
2008-03-14,"ch02",622.927883785005
2008-03-18,"ch02",1512.31407740256
2008-03-25,"ch02",1722.67695233712
2008-03-31,"ch02",1766.46062752471
2008-04-08,"ch02",1925.67822623346
2008-04-15,"ch02",2103.29856975729
2008-04-22,"ch02",2256.68686561352
2008-04-29,"ch02",2390.02285830008
2008-05-06,"ch02",2391.84854653225
2008-05-20,"ch02",2634.68734635923
2008-06-02,"ch02",2851.09962867421
2008-06-16,"ch02",2990.79076335341
2008-07-01,"ch02",3159.06406797232
2008-07-16,"ch02",3295.63550582572
2008-07-29,"ch02",3287.73740393011
2008-08-20,"ch02",3327.74358556328
2008-09-17,"ch02",4575.57493275422
2008-10-01,"ch02",4606.71293087868
2008-10-14,"ch02",5071.32054535847
2008-10-28,"ch02",5534.9110422127
2008-11-11,"ch02",6051.41250530845
2008-12-09,"ch02",9375.80784814177
2008-12-23,"ch02",7746.08917788224
2009-01-05,"ch02",8269.71994312525
2009-01-20,"ch02",11671.9711587889
2009-02-03,"ch02",8793.79896456138
2009-02-17,"ch02",9123.48996206298
2009-03-16,"ch02",15186.059412712
2008-01-16,"ch03",328.644884789083
2008-02-21,"ch03",620.242891800167
2008-03-04,"ch03",1777.68700141015
2008-03-11,"ch03",2048.80466411082
2008-03-14,"ch03",911.418986199715
2008-03-18,"ch03",2390.20559031856
2008-03-25,"ch03",2642.40105130635
2008-03-31,"ch03",2589.3187896292
2008-04-08,"ch03",2794.32917475635
2008-04-15,"ch03",2977.00168318405
2008-04-22,"ch03",3153.46759609234
2008-04-29,"ch03",3340.32276233039
2008-05-06,"ch03",3301.04409954789
2008-05-20,"ch03",3586.26555671459
2008-06-02,"ch03",3962.52916988979
2008-06-16,"ch03",4147.66456556073
