"treatment","Date","CO2cum","boleC","bolebranch","aboveC","CO2cum_se","boleC_se","bolebranch_se","aboveC_se"
"ambient-wet",2008-07-24,4008.45,1201.21,1309.78,1485.79,528.179,77.634,98.871,195.538
"ambient-wet",2008-07-25,4040.24,1213.22,1322.88,1499.41,533.42,78.41,99.859,196.639
"ambient-wet",2008-07-26,4081.02,1225.23,1335.98,1513.02,538.577,79.186,100.848,197.744
"ambient-wet",2008-07-27,4115.26,1237.25,1349.07,1526.64,542.513,79.963,101.837,198.851
"ambient-wet",2008-07-28,4139.46,1249.26,1362.17,1540.26,546.57,80.739,102.825,199.961
"ambient-wet",2008-07-29,4182.49,1261.27,1375.27,1553.87,551.779,81.515,103.814,201.074
"ambient-wet",2008-07-30,4231.77,1273.28,1388.37,1568.42,557.42,82.292,104.803,201.162
"ambient-wet",2008-07-31,4278.22,1285.3,1401.47,1582.97,563.406,83.068,105.792,201.252
"ambient-wet",2008-08-01,4314.27,1297.31,1414.56,1597.52,570.094,83.844,106.78,201.346
"ambient-wet",2008-08-02,4369.45,1309.32,1427.66,1612.07,577.332,84.621,107.769,201.444
"ambient-wet",2008-08-03,4424.6,1321.33,1440.76,1626.62,583.112,85.397,108.758,201.546
"ambient-wet",2008-08-04,4467.48,1333.34,1453.86,1641.17,588.31,86.173,109.746,201.651
"ambient-wet",2008-08-05,4510.65,1345.36,1466.96,1655.73,592.278,86.95,110.735,201.759
"ambient-wet",2008-08-06,4550.7,1357.37,1480.05,1670.28,598.019,87.726,111.724,201.871
"ambient-wet",2008-08-07,4590.62,1369.38,1493.15,1684.79,602.418,88.502,112.713,202.018
"ambient-wet",2008-08-08,4637.96,1381.39,1506.25,1699.3,608.288,89.279,113.701,202.169
"ambient-wet",2008-08-09,4694.46,1393.4,1519.35,1713.81,613.51,90.055,114.69,202.324
"ambient-wet",2008-08-10,4739.74,1405.42,1532.44,1728.32,616.976,90.832,115.679,202.482
"ambient-wet",2008-08-11,4797.26,1417.43,1545.54,1742.83,623.269,91.608,116.667,202.645
"ambient-wet",2008-08-12,4853.57,1429.44,1558.64,1757.35,629.228,92.384,117.656,202.812
"ambient-wet",2008-08-13,4910.44,1441.45,1571.74,1771.86,635.342,93.161,118.645,202.983
"ambient-wet",2008-08-14,4968.6,1453.46,1584.84,1786.38,641.702,93.937,119.633,203.157
"ambient-wet",2008-08-15,5028.5,1465.48,1597.93,1800.89,648.34,94.713,120.622,203.336
"ambient-wet",2008-08-16,5089.25,1477.49,1611.03,1815.41,654.795,95.49,121.611,203.518
"ambient-wet",2008-08-17,5148.1,1489.5,1624.13,1829.93,660.535,96.266,122.6,203.705
"ambient-wet",2008-08-18,5269.28,1501.51,1637.23,1844.45,671.216,97.042,123.588,203.895
"ambient-wet",2008-08-19,5339.43,1513.53,1650.32,1858.97,677.736,97.819,124.577,204.09
"ambient-wet",2008-08-20,5390.16,1525.54,1663.42,1873.49,683.906,98.595,125.566,204.288
"ambient-wet",2008-08-21,5433.48,1537.55,1676.52,1886.05,689.252,99.371,126.554,205.868
"ambient-wet",2008-08-22,5453.35,1549.56,1689.62,1898.61,692.403,100.148,127.543,207.45
"ambient-wet",2008-08-23,5503.89,1561.57,1702.72,1911.17,696.22,100.924,128.532,209.034
"ambient-wet",2008-08-24,5571.26,1573.59,1715.81,1923.73,702.66,101.7,129.521,210.619
"ambient-wet",2008-08-25,5636.59,1585.6,1728.91,1936.28,709.055,102.477,130.509,212.205
"ambient-wet",2008-08-26,5700.2,1597.61,1742.01,1948.84,717.164,103.253,131.498,213.793
"ambient-wet",2008-08-27,5745.07,1609.62,1755.11,1961.4,722.052,104.029,132.487,215.383
"ambient-wet",2008-08-28,5786.68,1621.63,1768.2,1973.96,726.24,104.806,133.475,216.974
"ambient-wet",2008-08-29,5849.08,1633.65,1781.3,1986.52,731.732,105.582,134.464,218.566
"ambient-wet",2008-08-30,5894.19,1645.66,1794.4,1999.08,736.045,106.358,135.453,220.16
"ambient-wet",2008-08-31,5920.86,1657.67,1807.5,2011.64,740.941,107.135,136.441,221.755
"ambient-wet",2008-09-01,5992.46,1669.68,1820.6,2024.2,747.889,107.911,137.43,223.351
"ambient-wet",2008-09-02,6063.61,1681.69,1833.69,2036.76,754.195,108.687,138.419,224.949
"ambient-wet",2008-09-03,6104.9,1693.71,1846.79,2049.32,758.315,109.464,139.408,226.547
"ambient-wet",2008-09-04,6142.68,1705.72,1859.89,2061.88,761.637,110.24,140.396,228.147
"ambient-wet",2008-09-05,6146.56,1717.73,1872.99,2074.44,762.629,111.016,141.385,229.748
"ambient-wet",2008-09-06,6166.22,1729.74,1886.09,2087.01,764.845,111.793,142.374,231.35
"ambient-wet",2008-09-07,6233.56,1741.76,1899.18,2099.57,770.745,112.569,143.362,232.954
"ambient-wet",2008-09-08,6303.39,1753.77,1912.28,2112.13,776.417,113.345,144.351,234.558
"ambient-wet",2008-09-09,6377.75,1765.78,1925.38,2124.69,781.842,114.122,145.34,236.164
"ambient-wet",2008-09-10,6453.77,1777.79,1938.48,2137.26,787.617,114.898,146.329,237.77
"ambient-wet",2008-09-11,6525.1,1789.8,1951.57,2149.82,793.531,115.674,147.317,239.378
"ambient-wet",2008-09-12,6592.94,1801.82,1964.67,2162.38,799.77,116.451,148.306,240.986
"ambient-wet",2008-09-13,6643.45,1813.83,1977.77,2174.95,807.604,117.227,149.295,242.596
"ambient-wet",2008-09-14,6685.04,1825.84,1990.87,2187.51,815.201,118.003,150.283,244.206
"ambient-wet",2008-09-15,6751.16,1837.85,2003.97,2200.08,823.054,118.78,151.272,245.817
"ambient-wet",2008-09-16,6823.29,1849.86,2017.06,2212.64,827.175,119.556,152.261,247.43
"ambient-wet",2008-09-17,6871.79,1861.88,2030.16,2225.21,830.048,120.332,153.249,249.043
"ambient-wet",2008-09-18,6946.28,1899.64,2077.31,2271.29,834.346,118.596,151.649,248.83
"ambient-wet",2008-09-19,7017.25,1937.4,2124.46,2317.37,840.762,116.895,150.054,248.619
"ambient-wet",2008-09-20,7077.83,1975.17,2171.61,2363.45,847.637,115.233,148.463,248.41
"ambient-wet",2008-09-21,7152.98,2012.93,2218.76,2409.54,851.091,113.61,146.877,248.203
"ambient-wet",2008-09-22,7211.66,2050.69,2265.91,2455.62,853.463,112.028,145.296,247.998
"ambient-wet",2008-09-23,7241.16,2088.45,2313.06,2501.71,856.107,110.49,143.72,247.794
"ambient-wet",2008-09-24,7327.21,2126.22,2360.21,2547.8,859.614,108.996,142.149,247.592
"ambient-wet",2008-09-25,7412.77,2163.98,2407.35,2593.88,862.018,107.549,140.584,247.392
"ambient-wet",2008-09-26,7485.22,2201.74,2454.5,2639.97,863.782,106.15,139.024,247.194
"ambient-wet",2008-09-27,7547.69,2239.51,2501.65,2685.75,866.212,104.802,137.471,246.916
"ambient-wet",2008-09-28,7592.27,2277.27,2548.8,2731.53,869.344,103.507,135.923,246.638
"ambient-wet",2008-09-29,7657.58,2315.03,2595.95,2777.31,873.335,102.266,134.381,246.362
"ambient-wet",2008-09-30,7742.6,2352.8,2643.1,2823.09,878.417,101.081,132.846,246.087
"ambient-wet",2008-10-01,7813.49,2390.56,2690.25,2868.87,883.957,99.955,131.318,245.814
"ambient-wet",2008-10-02,7869,2428.32,2737.4,2921.34,888.147,98.89,129.797,242.497
"ambient-wet",2008-10-03,7920.89,2466.08,2784.55,2973.82,899.217,97.887,128.282,239.193
"ambient-wet",2008-10-04,7945.44,2503.85,2831.7,3026.32,902.38,96.949,126.776,235.903
"ambient-wet",2008-10-05,7978.61,2541.61,2878.85,3078.84,905.266,96.077,125.277,232.627
"ambient-wet",2008-10-06,8040.74,2579.37,2926,3131.38,910.376,95.273,123.785,229.368
"ambient-wet",2008-10-07,8139.82,2617.14,2973.15,3183.93,917.099,94.539,122.303,226.125
"ambient-wet",2008-10-08,8225.08,2654.9,3020.29,3236.51,922.143,93.876,120.828,222.902
"ambient-wet",2008-10-09,8311.63,2692.66,3067.44,3289.1,927.423,93.287,119.363,219.698
"ambient-wet",2008-10-10,8392,2730.42,3114.59,3341.71,932.489,92.772,117.907,216.516
"ambient-wet",2008-10-11,8456.41,2768.19,3161.74,3393.92,937.86,92.333,116.46,213.377
"ambient-wet",2008-10-12,8540.31,2805.95,3208.89,3446.14,940.786,91.971,115.024,210.266
"ambient-wet",2008-10-13,8625.32,2843.71,3256.04,3498.38,946.953,91.686,113.597,207.187
"ambient-wet",2008-10-14,8655.07,2881.48,3303.19,3550.64,950.093,91.48,112.182,204.14
"ambient-wet",2008-10-15,8693.77,2919.24,3350.34,3609.87,952.9,91.352,110.777,199.331
"ambient-wet",2008-10-16,8798.87,2957,3397.49,3669.16,959.439,91.304,109.384,194.633
"ambient-wet",2008-10-17,8887.94,2994.77,3444.64,3728.52,965.909,91.336,108.003,190.059
"ambient-wet",2008-10-18,8972.98,3032.53,3491.79,3787.95,972.084,91.446,106.635,185.624
"ambient-wet",2008-10-19,9053.67,3070.29,3538.94,3847.44,977.764,91.636,105.279,181.343
"ambient-wet",2008-10-20,9141.5,3108.05,3586.08,3907,983.517,91.904,103.937,177.235
"ambient-wet",2008-10-21,9205.03,3145.82,3633.23,3966.62,988.121,92.251,102.609,173.317
"ambient-wet",2008-10-22,9293.03,3183.58,3680.38,4026.31,988.232,92.674,101.295,169.61
"ambient-wet",2008-10-23,9378.04,3221.34,3727.53,4086.06,992.562,93.173,99.996,166.133
"ambient-wet",2008-10-24,9477.32,3259.11,3774.68,4145.88,998.142,93.747,98.713,162.909
"ambient-wet",2008-10-25,9575.83,3296.87,3821.83,4203.63,1004.827,94.394,97.447,160.687
"ambient-wet",2008-10-26,9668.19,3334.63,3868.98,4261.45,1011.912,95.113,96.197,158.757
"ambient-wet",2008-10-27,9741.58,3372.4,3916.13,4319.34,1022.892,95.903,94.965,157.136
"ambient-wet",2008-10-28,9828.32,3410.16,3963.28,4377.29,1029.114,96.76,93.752,155.839
"ambient-wet",2008-10-29,9849.51,3447.92,4017.15,4436.07,1032.684,97.685,88.675,154.079
"ambient-wet",2008-10-30,9914.41,3485.68,4071.03,4494.89,1038.191,98.675,83.599,152.557
"ambient-wet",2008-10-31,9988.32,3523.45,4124.9,4553.72,1047.091,99.727,78.522,151.283
"ambient-wet",2008-11-01,10031.84,3561.21,4178.78,4612.58,1050.101,100.84,73.446,150.263
"ambient-wet",2008-11-02,10102.15,3598.97,4232.65,4671.46,1054.824,102.013,68.37,149.505
"ambient-wet",2008-11-03,10206.33,3636.74,4286.53,4730.36,1061.932,103.242,63.295,149.013
"ambient-wet",2008-11-04,10268.27,3674.5,4340.4,4789.29,1058.822,104.526,58.22,148.791
"ambient-wet",2008-11-05,10373.47,3712.26,4394.28,4848.24,1062.453,105.863,53.145,148.842
"ambient-wet",2008-11-06,10484.77,3750.03,4448.15,4907.21,1072.949,107.251,48.071,149.166
"ambient-wet",2008-11-07,10596.73,3787.79,4502.03,4966.21,1080.161,108.689,42.998,149.763
"ambient-wet",2008-11-08,10627.76,3825.55,4555.9,5018.25,1084.28,110.173,37.926,151.498
"ambient-wet",2008-11-09,10757.47,3863.31,4609.78,5070.32,1092.888,111.702,32.856,153.542
"ambient-wet",2008-11-10,10874.69,3901.08,4663.65,5122.41,1104.17,113.275,27.789,155.884
"ambient-wet",2008-11-11,10994,3938.84,4717.53,5174.52,1112.414,114.89,22.726,158.513
"ambient-wet",2008-11-12,11096.29,3976.6,4771.4,5236.63,1122.497,116.544,17.673,155.436
"ambient-wet",2008-11-13,11215.12,4014.37,4825.28,5298.82,1133.275,118.236,12.638,152.391
"ambient-wet",2008-11-14,11297.43,4052.13,4879.15,5361.09,1143.158,119.965,7.66,149.381
"ambient-wet",2008-11-15,11348.31,4089.89,4933.03,5423.44,1147.541,121.73,3.036,146.408
"ambient-wet",2008-11-16,11454.44,4127.66,4986.9,5485.87,1154.657,123.527,3.364,143.475
"ambient-wet",2008-11-17,11545.66,4165.42,5040.78,5548.37,1160.331,125.357,8.061,140.585
"ambient-wet",2008-11-18,11652.76,4203.18,5094.65,5610.95,1166.823,127.217,13.047,137.743
"ambient-wet",2008-11-19,11734.48,4240.94,5148.53,5673.61,1172.316,129.107,18.083,134.95
"ambient-wet",2008-11-20,11818.16,4278.71,5198.49,5732.43,1176.75,131.025,19.385,130.807
"ambient-wet",2008-11-21,11939.54,4316.47,5248.46,5795.49,1182.213,132.97,20.974,125.692
"ambient-wet",2008-11-22,12072,4354.23,5298.43,5858.62,1185.847,134.94,22.789,120.556
"ambient-wet",2008-11-23,12156.65,4392,5348.4,5921.83,1188.817,136.935,24.781,115.4
"ambient-wet",2008-11-24,12302.57,4429.76,5398.37,5985.12,1193.501,138.954,26.91,110.225
"ambient-wet",2008-11-25,12421.32,4467.52,5448.34,6048.48,1197.334,140.995,29.147,105.031
"ambient-wet",2008-11-26,12484.95,4505.28,5498.3,6111.92,1199.665,143.058,31.468,99.82
"ambient-wet",2008-11-27,12595.19,4543.05,5548.27,6175.43,1203.353,145.141,33.857,94.591
"ambient-wet",2008-11-28,12641.35,4580.81,5598.24,6239.03,1207.272,147.244,36.299,89.345
"ambient-wet",2008-11-29,12757.95,4618.57,5648.21,6302.69,1212.959,149.366,38.785,84.086
"ambient-wet",2008-11-30,12904.06,4656.34,5698.18,6366.44,1220.198,151.507,41.307,78.813
"ambient-wet",2008-12-01,13028.66,4694.1,5748.15,6430.26,1221.6,153.664,43.859,73.53
"ambient-wet",2008-12-02,13163.52,4731.86,5798.11,6494.15,1227.263,155.839,46.435,68.239
"ambient-wet",2008-12-03,13281.61,4769.63,5848.08,6558.13,1236.856,158.029,49.033,62.945
"ambient-wet",2008-12-04,13392.1,4807.39,5898.05,6622.17,1240.728,160.235,51.648,57.653
"ambient-wet",2008-12-05,13496.51,4845.15,5948.02,6684.43,1246.562,162.455,54.278,51.776
"ambient-wet",2008-12-06,13616.34,4882.91,5997.99,6746.76,1258.777,164.689,56.921,46.028
"ambient-wet",2008-12-07,13715.34,4920.68,6047.95,6809.16,1263.148,166.937,59.576,40.473
"ambient-wet",2008-12-08,13845.02,4958.44,6097.92,6871.64,1266.269,169.198,62.24,35.217
"ambient-wet",2008-12-09,13969.7,4996.2,6147.89,6934.2,1270.349,171.472,64.913,30.43
"ambient-wet",2008-12-10,14074.48,5034.94,6198.84,6996.88,1273.637,171.384,67.781,25.013
"ambient-wet",2008-12-11,14134.97,5073.68,6249.78,7059.64,1275.972,171.3,70.855,20.039
"ambient-wet",2008-12-12,14155.83,5112.43,6302.18,7123.93,1276.497,171.218,75.2,13.786
"ambient-wet",2008-12-13,14275.16,5151.17,6354.58,7188.29,1277.504,171.14,79.573,8.869
"ambient-wet",2008-12-14,14431.66,5189.91,6406.99,7252.72,1282.302,171.065,83.97,8.247
"ambient-wet",2008-12-15,14590.7,5228.65,6459.39,7317.22,1286.87,170.992,88.387,12.601
"ambient-wet",2008-12-16,14735.92,5267.39,6511.79,7381.79,1292.068,170.923,92.822,18.753
"ambient-wet",2008-12-17,14875.58,5306.13,6564.19,7446.44,1298.822,170.857,97.273,25.442
"ambient-wet",2008-12-18,14994.22,5344.87,6616.59,7511.16,1305.358,170.794,101.736,32.348
"ambient-wet",2008-12-19,15133.42,5383.61,6668.99,7579.49,1310.012,170.734,106.211,39.201
"ambient-wet",2008-12-20,15284.38,5422.35,6721.39,7647.9,1315.183,170.677,110.696,46.141
"ambient-wet",2008-12-21,15441.01,5461.09,6773.79,7716.38,1321.171,170.623,115.19,53.142
"ambient-wet",2008-12-22,15587.3,5499.83,6826.19,7784.93,1326.211,170.572,119.692,60.188
"ambient-wet",2008-12-23,15685.55,5538.57,6878.59,7853.55,1330.427,170.524,124.201,67.27
"ambient-wet",2008-12-24,15711.73,5577.31,6930.99,7925.55,1332.359,170.479,128.716,72.776
"ambient-wet",2008-12-25,15842.77,5616.05,6983.39,7997.64,1338.888,170.437,133.237,78.297
"ambient-wet",2008-12-26,15968.78,5654.8,7035.79,8069.81,1348.111,170.399,137.763,83.831
"ambient-wet",2008-12-27,16099.51,5693.54,7088.2,8142.08,1354.758,170.363,142.294,89.378
"ambient-wet",2008-12-28,16237.56,5732.28,7140.6,8214.44,1362.702,170.331,146.828,94.935
"ambient-wet",2008-12-29,16375.13,5771.02,7193,8286.88,1369.001,170.301,151.367,100.501
"ambient-wet",2008-12-30,16493.6,5809.76,7245.4,8359.41,1375.106,170.275,155.909,106.076
"ambient-wet",2008-12-31,16612.28,5848.5,7297.8,8432.04,1379.731,170.252,160.455,111.658
"ambient-wet",2009-01-01,16750.08,5887.24,7350.2,8504.75,1387.335,170.232,165.003,117.249
"ambient-wet",2009-01-02,16867.23,5925.98,7402.6,8577.55,1388.183,170.215,169.554,122.846
"ambient-wet",2009-01-03,16970.92,5964.72,7455,8646.38,1390.044,170.201,174.107,130.186
"ambient-wet",2009-01-04,17103.19,6003.46,7507.4,8715.3,1392.024,170.19,178.663,137.531
"ambient-wet",2009-01-05,17189.72,6042.2,7559.8,8784.3,1399.588,170.182,183.221,144.883
"ambient-wet",2009-01-06,17270.89,6080.94,7612.2,8837.82,1404.643,170.178,187.781,155.603
"ambient-wet",2009-01-07,17385.57,6119.68,7664.6,8891.35,1407.23,170.176,192.342,166.422
"ambient-wet",2009-01-08,17426.38,6158.42,7717,8944.9,1407.483,170.177,196.906,177.324
"ambient-wet",2009-01-09,17529.9,6197.16,7769.69,8998.76,1409.339,170.182,200.634,187.458
"ambient-wet",2009-01-10,17678.81,6235.91,7822.37,9052.63,1413.133,170.19,204.367,197.666
"ambient-wet",2009-01-11,17828.94,6274.65,7875.06,9106.52,1413.058,170.2,208.103,207.941
"ambient-wet",2009-01-12,17937.5,6313.39,7927.74,9160.43,1409.561,170.214,211.844,218.275
"ambient-wet",2009-01-13,18061.97,6352.13,7980.43,9214.36,1410.517,170.231,215.588,228.661
"ambient-wet",2009-01-14,18133.01,6390.87,8033.11,9268.3,1413.42,170.251,219.335,239.096
"ambient-wet",2009-01-15,18183.45,6429.61,8085.8,9322.27,1418.957,170.274,223.086,249.575
"ambient-wet",2009-01-16,18292.55,6468.35,8138.48,9376.25,1423.41,170.301,226.84,260.095
"ambient-wet",2009-01-17,18408.84,6507.09,8191.17,9425.82,1427.564,170.33,230.596,269.9
"ambient-wet",2009-01-18,18558.37,6545.83,8243.85,9475.42,1430.867,170.362,234.356,279.72
"ambient-wet",2009-01-19,18667.07,6584.57,8296.54,9525.03,1433.123,170.398,238.118,289.555
"ambient-wet",2009-01-20,18735.08,6623.31,8349.22,9574.66,1443.012,170.436,241.883,299.405
"ambient-wet",2009-01-21,18797.01,6673.89,8413.74,9642.63,1450.137,166.571,249.283,314.006
"ambient-wet",2009-01-22,18921.99,6724.46,8478.26,9710.64,1458.911,162.719,256.704,328.632
"ambient-wet",2009-01-23,19005.7,6775.04,8542.78,9778.69,1465.561,158.879,264.145,343.282
"ambient-wet",2009-01-24,19068.03,6825.61,8607.3,9846.79,1472.131,155.054,271.604,357.956
"ambient-wet",2009-01-25,19225.02,6876.18,8671.81,9914.93,1482.605,151.244,279.08,372.655
"ambient-wet",2009-01-26,19337.89,6926.76,8736.33,9983.11,1488.828,147.45,286.571,387.377
"ambient-wet",2009-01-27,19451.63,6977.33,8800.85,10051.33,1495.414,143.673,294.076,402.124
"ambient-wet",2009-01-28,19562.52,7027.91,8865.37,10119.59,1502.586,139.916,301.594,416.894
"ambient-wet",2009-01-29,19713.95,7078.48,8929.89,10196.21,1511.684,136.179,309.124,430.139
"ambient-wet",2009-01-30,19845.02,7129.06,8994.41,10272.87,1518.936,132.464,316.666,443.409
"ambient-wet",2009-01-31,19963.25,7179.63,9058.93,10349.57,1524.433,128.774,324.218,456.705
"ambient-wet",2009-02-01,20108.78,7230.21,9123.44,10426.31,1535.631,125.11,331.779,470.026
"ambient-wet",2009-02-02,20243.34,7280.78,9187.96,10503.09,1547.47,121.475,339.35,483.373
"ambient-wet",2009-02-03,20362.58,7331.35,9252.48,10579.92,1554.262,117.872,346.93,496.744
"ambient-wet",2009-02-04,20495.98,7381.93,9317,10652.37,1559.637,114.302,354.517,504.896
"ambient-wet",2009-02-05,20601.74,7432.5,9381.52,10724.84,1566.049,110.771,362.112,513.053
"ambient-wet",2009-02-06,20691.82,7483.08,9446.04,10797.33,1574.035,107.281,369.713,521.214
"ambient-wet",2009-02-07,20778.24,7533.65,9510.56,10869.84,1579.945,103.837,377.322,529.38
"ambient-wet",2009-02-08,20872.43,7584.23,9575.07,10942.36,1586.142,100.443,384.936,537.55
"ambient-wet",2009-02-09,20894,7634.8,9639.59,11014.91,1586.575,97.105,392.556,545.724
"ambient-wet",2009-02-10,20933.65,7685.37,9704.11,11087.48,1587.361,93.828,400.182,553.902
"ambient-wet",2009-02-11,21008.53,7735.95,9768.63,11160.06,1590.609,90.62,407.813,562.084
"ambient-wet",2009-02-12,21115,7786.52,9833.15,11233.5,1594.501,87.487,415.449,570.889
"ambient-wet",2009-02-13,21194.67,7837.1,9897.67,11306.96,1598.007,84.439,423.09,579.7
"ambient-wet",2009-02-14,21238.97,7887.67,9962.19,11380.44,1600.56,81.484,430.734,588.517
"ambient-wet",2009-02-15,21346.11,7938.25,10026.7,11453.94,1602.177,78.634,438.384,597.339
"ambient-wet",2009-02-16,21453.86,7988.82,10091.22,11527.45,1605.221,75.899,446.037,606.168
"ambient-wet",2009-02-17,21509.99,8039.4,10155.74,11600.99,1607.645,73.294,453.693,615.002
"ambient-wet",2009-02-18,21663.92,8089.97,10220.26,11674.54,1612.692,70.831,461.354,623.841
"ambient-wet",2009-02-19,21820.88,8140.54,10284.78,11748.12,1616.674,68.528,469.017,632.685
"ambient-wet",2009-02-20,21957.05,8191.12,10349.3,11821.71,1621.328,66.399,476.684,641.534
"ambient-wet",2009-02-21,22014.69,8241.69,10413.82,11895.33,1624.434,64.463,484.354,650.388
"ambient-wet",2009-02-22,22141.8,8292.27,10478.33,11968.96,1632.764,62.737,492.027,659.246
"ambient-wet",2009-02-23,22283.2,8342.84,10542.85,12042.61,1637.716,61.239,499.703,668.109
"ambient-wet",2009-02-24,22424.55,8393.42,10607.37,12116.28,1643.161,59.987,507.381,676.976
"ambient-wet",2009-02-25,22545.06,8443.99,10671.89,12189.97,1649.216,58.995,515.062,685.847
"ambient-wet",2009-02-26,22675.37,8494.57,10736.41,12264.99,1654.956,58.278,522.745,693.732
"ambient-wet",2009-02-27,22845.85,8545.14,10800.93,12340.03,1659.752,57.845,530.431,701.619
"ambient-wet",2009-02-28,22977.5,8595.71,10865.45,12415.09,1664.312,57.702,538.119,709.507
"ambient-wet",2009-03-01,23114.81,8646.29,10929.96,12490.17,1670.547,57.852,545.809,717.398
"ambient-wet",2009-03-02,23250.18,8696.86,10994.48,12565.26,1676.837,58.293,553.501,725.292
"ambient-wet",2009-03-03,23375.48,8747.44,11059,12640.38,1679.319,59.018,561.195,733.187
"ambient-wet",2009-03-04,23409.75,8798.01,11123.52,12715.52,1683.93,60.017,568.891,741.084
"ambient-wet",2009-03-05,23557.16,8848.59,11188.04,12790.67,1688.987,61.277,576.588,748.983
"ambient-wet",2009-03-06,23556.45,8899.16,11252.56,12865.85,1688.991,62.781,584.288,756.884
"ambient-wet",2009-03-07,NA,8949.74,11317.08,12941.04,NA,64.512,591.989,764.788
"ambient-wet",2009-03-08,NA,9000.31,11381.59,13016.25,NA,66.454,599.692,772.693
"ambient-wet",2009-03-09,NA,9050.88,11446.11,13091.48,NA,68.587,607.396,780.6
"ambient-wet",2009-03-10,NA,9101.46,11510.63,13166.73,NA,70.896,615.102,788.509
"ambient-wet",2009-03-11,NA,9152.03,11575.15,13242,NA,73.362,622.809,796.42
"ambient-wet",2009-03-12,NA,9202.61,11639.67,13317.29,NA,75.971,630.517,804.332
"ambient-wet",2009-03-13,NA,9253.18,11704.19,13392.6,NA,78.709,638.227,812.247
"ambient-wet",2009-03-14,NA,9303.76,11768.7,13467.93,NA,81.562,645.938,820.163
"ambient-wet",2009-03-15,NA,9354.33,11833.22,13543.27,NA,84.52,653.651,828.081
"ambient-wet",2009-03-16,NA,9404.9,11897.74,13618.64,NA,87.57,661.364,836.001
"elevated-dry",2008-04-15,8.67,0,0,0,18.785,0,0,0
"elevated-dry",2008-04-16,16.68,6.99,7.51,10.55,27.998,0.942,0.994,3.105
"elevated-dry",2008-04-17,18.8,13.98,15.02,21.11,36.822,1.884,1.988,6.218
"elevated-dry",2008-04-18,10.75,20.96,22.53,32.02,42.727,2.826,2.982,9.174
"elevated-dry",2008-04-19,27.57,27.95,30.04,42.94,53.751,3.768,3.976,12.137
"elevated-dry",2008-04-20,37.94,34.94,37.55,53.88,63.965,4.71,4.97,15.109
"elevated-dry",2008-04-21,41.01,41.93,45.06,64.83,71.313,5.652,5.964,18.088
"elevated-dry",2008-04-22,41.57,48.92,52.57,75.8,78.571,6.594,6.958,21.075
"elevated-dry",2008-04-23,52.25,55.9,60.08,89.26,84.88,7.536,7.952,19.53
"elevated-dry",2008-04-24,63.13,62.89,67.59,102.73,93.32,8.478,8.946,18.309
"elevated-dry",2008-04-25,72.4,69.88,75.1,116.22,101.602,9.42,9.94,17.485
"elevated-dry",2008-04-26,104.83,76.87,82.6,129.72,113.656,10.362,10.934,17.116
"elevated-dry",2008-04-27,133.41,83.85,90.11,143.23,123.671,11.304,11.928,17.237
"elevated-dry",2008-04-28,162.11,90.84,97.62,156.76,133.733,12.246,12.923,17.84
"elevated-dry",2008-04-29,194.79,97.83,105.13,170.31,145.092,13.189,13.917,18.883
"elevated-dry",2008-04-30,220.78,104.82,112.64,180.33,157.033,14.131,14.911,19.886
"elevated-dry",2008-05-01,226.3,111.81,120.15,190.34,164.512,15.073,15.905,21.241
"elevated-dry",2008-05-02,251.99,118.79,127.66,200.33,175.91,16.015,16.899,22.832
"elevated-dry",2008-05-03,280.58,125.78,135.17,210.32,188.84,16.957,17.893,24.651
"elevated-dry",2008-05-04,301.84,132.77,142.68,220.31,198.752,17.899,18.887,26.651
"elevated-dry",2008-05-05,320.62,139.76,150.19,230.3,209.757,18.841,19.881,28.797
"elevated-dry",2008-05-06,321.09,146.75,157.7,240.3,219.288,19.783,20.875,31.059
"elevated-dry",2008-05-07,345.35,153.73,165.21,250.1,232.344,20.725,21.869,31.336
"elevated-dry",2008-05-08,367.48,160.72,172.72,259.89,245.304,21.667,22.863,31.612
"elevated-dry",2008-05-09,387.7,167.71,180.23,269.69,258.04,22.609,23.857,31.888
"elevated-dry",2008-05-10,402.32,174.7,187.74,279.49,270.046,23.551,24.851,32.163
"elevated-dry",2008-05-11,403.71,181.69,195.25,289.3,277.316,24.493,25.845,32.438
"elevated-dry",2008-05-12,421.88,188.67,202.76,299.11,288.815,25.435,26.839,32.711
"elevated-dry",2008-05-13,445.02,195.66,210.27,308.92,298.015,26.377,27.833,32.984
"elevated-dry",2008-05-14,472.58,202.65,217.78,318.74,309.465,27.319,28.827,33.256
"elevated-dry",2008-05-15,497.51,209.64,225.29,328.56,319.677,28.261,29.821,33.528
"elevated-dry",2008-05-16,516.15,216.62,232.79,338.5,330.726,29.203,30.815,33.839
"elevated-dry",2008-05-17,538.43,223.61,240.3,348.45,340.364,30.145,31.809,34.15
"elevated-dry",2008-05-18,564.54,230.6,247.81,358.4,352.225,31.087,32.803,34.462
"elevated-dry",2008-05-19,587.72,237.59,255.32,368.35,363.557,32.029,33.797,34.775
"elevated-dry",2008-05-20,608.62,244.58,262.83,378.31,375.112,32.971,34.791,35.087
"elevated-dry",2008-05-21,622.34,251.56,270.34,385.99,384.943,33.913,35.785,36.923
"elevated-dry",2008-05-22,636.5,258.55,277.85,393.68,395.261,34.855,36.78,38.791
"elevated-dry",2008-05-23,656.53,265.54,285.36,401.37,406.207,35.797,37.774,40.687
