"chamber","leaflitter_total","littercarbon"
"ch01",201.237916666667,101.311216766667
"ch02",131.964583333333,65.9438019965277
"ch03",284.353333333333,141.702744444444
"ch04",278.715833333333,145.256240489583
"ch05",178.510833333333,89.9819557583333
"ch06",118.762916666667,61.7887166734489
"ch07",74.6166666666667,38.4916293055555
"ch08",124.567083333333,60.7991172569444
"ch09",159.215833333333,80.10745634375
"ch10",120.329166666667,60.5767107291667
"ch11",151.299583333333,73.5824509719054
"ch12",82.27875,41.34987146875
