chamber,leafmass,branchmass
ch01,261.7,100.3
ch02,229.22,69.38
ch03,724.28,243.79
ch04,440.83,113.43
ch05,419.08,93.21
ch06,188.28,52
ch07,206.45,39.35
ch08,270.86,50.56
ch09,811.18,131.33
ch10,130.5,30.8
ch11,232.18,54.46
ch12,319.65,76
