chamber,layerno,Wleaf,Wbrlt1,Wbrgt1,Wbuds,Wdead,Ws,SLA,LA,BA
ch01,1,317.1,337.6,127.2,,,3399.605864,94.33422076,3.079988304,76.93785
ch01,2,959.1,694.7,234.6,,,3988.707962,82.77705302,7.979982683,76.93785
ch01,3,2102.7,1173.3,860.4,,,2740.767208,87.92118293,18.48640716,64.6997
ch01,4,1285.9,780.3,415.1,,,1793.427599,68.83535341,8.825306789,45.25525
ch01,5,1617.9,1076,218.1,,,1211.837227,87.19762905,14.1062411,27.63985
ch02,1,394.3,456.7,52.9,,,2863.427496,91.92272338,3.613360431,63.585
ch02,2,1348.5,940.4,797,,,2509.704023,76.9031441,10.15683544,55.3896
ch02,3,1478.7,788.9,1093,,,1338.71453,69.39926055,10.03401665,39.57185
ch02,4,870,418.9,179.2,,,759.8994256,62.13148262,5.492971282,22.05065
ch02,5,615.25,355.66,8.6,,,482.7534095,58.96138147,3.62879299,12.56
ch03,1,861.5,569.1,302.2,,,5613.982012,106.0621625,9.037861318,118.76265
ch03,2,2099.5,1289.2,1992.3,5.8,,3766.439509,89.00874899,18.78404693,84.06565
ch03,3,1816.7,1079.5,1311.5,,,1884.918307,91.75491209,16.06772549,62.17985
ch03,4,1186.9,643.3,631,,,1194.286334,88.05645483,10.79811531,32.1536
ch03,5,971.7,530.4,128.1,,,688.7318296,89.98349733,8.810458385,18.0864
ch04,1,384.4,439.7,130.7,,,3297.086877,97.02189825,3.711840051,75.3914
ch04,2,1225.6,1015.2,403.5,,,1573.582927,80.96173237,9.975613906,58.8593
ch04,3,1128.9,885,162.4,,,1233.513286,83.692613,9.361455101,36.5025
ch04,4,616,429.7,5.7,,,850.8118891,92.46919848,5.677429814,27.63985
ch04,5,1040.6,618.8,112.86,,,221.8259188,104.6064388,10.79227372,19.4837
ch05,1,310.7,291.6,217,,,3021.062408,90.67727659,2.815720101,60.7904
ch05,2,532.7,666.1,93.2,,,2539.610538,91.27776414,4.833624195,59.51085
ch05,3,2215.6,1402.2,1489.1,,,1152.920036,75.47741194,15.86795285,39.7367
ch05,4,660.9,491.3,13,,,492.356962,62.24477919,4.181091814,12.6856
ch05,5,415.1,258.4,2.6,,,259.4036697,84.22839498,3.449677936,7.85785
ch06,1,400.9,287.4,25.9,,,1267.674286,81.68679806,3.314198509,37.37385
ch06,2,625.2,380.2,37.96,,,967.3595197,78.90682534,5.019749474,32.1536
ch06,3,673.4,353.6,33.8,,,792.0623701,68.5734722,4.566266685,27.32585
ch06,4,329.1,208.2,3.2,,,561.4671461,64.018866,2.170927129,18.4651625
ch06,5,300.9,198.4,39.4,,,302.1428571,79.67423391,2.350083331,11.3354
ch07,1,354.9,261.6,33.7,,,2510.904889,100.0637117,3.598457361,60.1015625
ch07,2,1355.2,674.9,478.1,,,2202.338805,83.09989966,11.32848504,50.24
ch07,3,1493.5,731.2,590.6,,,1048.826513,81.87087945,12.26909863,33.16625
ch07,4,524.7,324.6,78.7,,,554.0227139,72.92110289,3.833115442,15.89625
ch07,5,336.4,188.2,0,,,279.877707,86.38808934,2.898859851,7.54385
ch08,1,677.7,524.2,211.5,,14.34,3410.990995,87.57457578,5.923123001,52.7834
ch08,2,1729.7,1002.6,491.2,,,2167.416771,79.06465061,13.90371936,61.3556
ch08,3,1730.1,868.4,277.5,,,1270.736057,68.87257135,12.06511177,40.977
ch08,4,1016.4,616.7,113.13,,,716.0669656,73.97824919,7.418301137,21.39125
ch08,5,523.5,314.8,0,,,299.0491857,86.16851748,4.426989096,11.0057
ch09,1,717.7,606.5,568.5,,,4637.961387,92.76039247,6.734162074,91.5624
ch09,2,2510.2,1506.5,1810.4,,,3312.632771,84.49608224,20.61811881,82.4740625
ch09,3,1344,843.7,933.5,,,1528.687551,88.73829225,11.93253009,45.3416
ch09,4,659.1,481.2,251.7,,,784.5907216,79.96093106,5.252226453,21.2264
ch09,5,541.4,421.1,45.9,,,389.1896104,97.99007616,5.188911635,11.3354
ch10,1,269.3,204.7,5.7,,,2445.046001,83.11714441,2.257494513,54.07865
ch10,2,881.3,571.3,159.4,,,1724.724771,83.55402029,7.493846786,45.34945
ch10,3,2141.21,1066.7,772.1,1.1,,960.6813904,66.0955582,13.72177976,27.3808
ch10,4,698.4,309.9,0,,,481.7908958,62.50297443,4.383232471,12.2146
ch10,5,552.3,315.6,0,,,389.5542857,62.90811183,3.512229066,8.39165
ch11,1,152.6,165.9,0,,17.65,4098.458912,88.99192971,1.367462953,78.5
ch11,2,703.5,532.4,160.9,,,3100.833752,87.24626717,6.126347281,66.4738
ch11,3,1396.2,882.1,276.7,,,2113.787254,94.41507295,13.17765683,52.8776
ch11,4,951.1,570.7,11.2,,,1425.730351,94.48739211,8.994333369,31.8082
ch11,5,1634.4,1071.6,74.1,,,1431.339499,86.94450458,14.19617307,26.3917
ch12,1,561.2,301.1,361,,,1942.922675,88.31686817,4.915497533,58.0586
ch12,2,756.9,382.3,323.9,,,915.6124031,75.25344522,5.785248929,38.465
ch12,3,610.2,308.3,118.9,,,644.0737064,79.35405362,4.835842047,22.8906
ch12,4,782,399.7,42.2,,,466.8556346,67.96751625,5.348923857,18.0864
ch12,5,357.5,214.4,13.04,,,245.8660465,83.55696509,2.768619128,7.54385
ch13,1,907.18,531.5,590.9,,,1323.712395,91.94799292,8.308263937,47.7594
ch13,2,743.1,474.5,372.5,,,828.9894959,77.38293141,5.819090786,31.15665
ch13,3,441.6,301.6,251.7,,,428.9434731,73.83395618,3.295767126,17.34065
ch13,4,151,121.8,6.7,,,195.6120975,72.97774188,1.126327826,17.34065
ch13,5,113.9,96.8,0,,,101.8744092,81.63695855,0.909599904,7.065
ch14,1,269.9,166.7,100.8,,,1736.434526,87.00339069,2.462879388,62.17985
ch14,2,1566.2,819.8,862.8,8.4,,1285.225853,78.21555567,12.2809127,44.15625
ch14,3,666.6,413.3,370.9,5.7,,744.8556845,78.38359729,5.340235844,27.32585
ch14,4,426.04,223.9,329.1,,,391.1035549,77.82770739,3.08326732,18.84785
ch14,5,259.36,269.1,28.3,,,214.722973,89.07470188,2.311331724,8.0384
ch15,1,1211.2,917.7,696.6,,,3616.54885,103.082301,12.52080462,88.2026
ch15,2,748.8,446.7,305,,,2314.462263,98.55985944,7.586321946,56.71625
ch15,3,2034,936.4,1049,,,1628.558138,89.30529867,18.15963279,38.465
ch15,4,714.7,361.8,164.3,,,722.5191837,78.59179555,5.626041185,17.34065
ch15,5,477.1,318.2,0,,,322.1329972,95.69192869,4.286785949,8.54865
ch16,1,492.8,356.2,64.6,,,2022.946129,92.20619667,4.516015529,61.3556
ch16,2,838.3,495.3,155.4,,,1463.091175,92.85156834,7.64920937,44.8706
ch16,3,1412.1,899.6,458.5,,,1008.123684,106.3441081,14.46131823,32.7973
ch16,4,842.6,461.3,257.2,,,532.7038328,97.67157426,7.903019912,17.2719625
ch16,5,704.3,491.6,14.7,,,281.0688797,96.33655627,6.640562032,8.164
ch17,1,776.3,393.5,715.8,,,1837.229555,85.26332714,6.387877746,63.585
ch17,2,1008.8,537.2,608.7,,,1301.433855,87.04226831,8.3635639,42.9866
ch17,3,1127,604.2,789,,,846.8113416,75.12551511,8.608933482,32.1536
ch17,4,697.6,392.3,521.8,,,423,80.19698546,5.482587572,15.1976
ch17,5,63.4,84.1,0,,,150.1054393,97.86127431,0.54619922,7.54385
ch18,1,339.9,304.6,72.8,,,1535.178354,86.06986095,2.943240093,47.7594
ch18,2,1075.2,687.8,537.3,1.3,,996.1568627,86.6675623,9.394748548,35.23865
ch18,3,836.9,531,367.5,2.2,,587.6405714,86.36656041,7.013146986,20.41785
ch18,4,362,226.9,163.6,,,289.4914286,82.36581948,2.91868264,13.8474
ch18,5,164,145.2,0,,,152.0032129,100.4052923,1.560504798,6.1544
