chamber,CO2_treatment,Water_treatment,inside_or_outside_WTC
ch01,ambient,wet,inside
ch02,elevated,dry,inside
ch03,ambient,wet,inside
ch04,elevated,wet,inside
ch05,ambient,dry,inside
ch06,elevated,wet,inside
ch07,ambient,dry,inside
ch08,elevated,wet,inside
ch09,ambient,dry,inside
ch10,elevated,dry,inside
ch11,ambient,wet,inside
ch12,elevated,dry,inside
ch13,ambient,wet,outside
ch14,ambient,dry,outside
ch15,ambient,wet,outside
ch16,ambient,dry,outside
ch17,ambient,wet,outside
ch18,ambient,dry,outside
