chamber,layerno,Wleafpetiole_noLA,Wleafpetiole,Wbrlt1,Wbrgt1,Wflwrbud,Wdeadwood,DWleafpetiole_noLA,DWleafpetiole,DWbrlt1,DWbrgt1,DWflwrbud,DWdeadwood,leafcount,Wlamina,Wpetiole,laminaarea,DWpetiole,Dwlamina,comments
ch01,1,316.4,357.9,256.5,209.6,0,1,127.6,148.4,135.6,71.2,,,100,39.3,2.2,2006,1.2,19.6,
ch01,2,379.3,429.8,269.7,109,0,0,144.1,166.9,114.7,45.6,,,94,47.9,2.6,2046,1.1,21.7,
ch01,3,476.8,536.8,325,303.7,0.4,0,201.6,230.5,133.1,123.5,,,94,56.7,3.3,2484.9,1.5,27.4,
ch01,4,541.4,606.5,337.1,383.6,0,0,212.8,241.8,137.1,135.2,,,126,61.5,3.6,3040.4,1.1,27.9,
ch01,5,737.5,817.5,441.8,262.8,0,0,281.7,316.4,171.2,100.3,,,97,75.5,4.5,3137.5,1.8,32.9,
ch02,1,249.6,319.5,275.3,13.4,0,0,72.1,99.7,113.3,5.9,,,85,66.4,3.5,2516.3,1.4,26.2,changed from 80 to 70g as 80 looks too high
ch02,2,1004.6,1113,696.9,616.3,0,0,413.7,460.4,283.9,277,,,100,103.1,5.3,2723,2.3,44.4,
ch02,3,2042.7,2151.3,1270.9,2031.2,0,0,811,857,455.1,717.7,,,96,103.5,5.1,3183.6,2,44,
ch02,4,408.4,544.3,255.6,4.6,0,0,114.6,178.1,101.2,2,,,98,129.2,6.7,3763.2,2.7,60.8,
ch02,5,316,429.5,198.5,0,0,0,96,149.2,71.8,0,,,96,107.8,5.7,3217,2.2,51,
ch03,1,794.7,863.7,499.1,381.6,0.7,0,290.7,317.3,197.5,145.9,0.2,,116,64.1,4.9,2871.9,1.7,24.9,
ch03,2,3397.3,3464,2741.1,4921.9,12.5,0,1360.1,1388,819.7,1689.2,5.3,,89,62.4,4.3,2514.2,1.8,26.1,
ch03,3,3649.8,3725.5,2241.5,3333.8,46,0,1478,1507.8,824.8,1211.4,10.9,,86,70.9,4.8,2600.2,1.6,28.2,
ch03,4,2271.4,2371.7,1277,1750.2,0,0,874.7,917.7,485.4,628,,,100,94.9,5.4,3735.1,2.3,40.7,
ch03,5,534.4,617.2,270.8,115,0,0,179.4,214,103.2,43.4,,,100,77.5,5.3,3027.5,2.1,32.5,
ch04,1,299.7,372.1,333.9,237.3,0,0,94.8,126.6,136,96.2,,,112,69.5,2.9,3223.2,1.2,30.6,
