chamber,stemnumber,branchnumber,leafnumber,leafarea,leaflength,leafwidth,leafweight,SLA,comments
ch01,1,13,1,17.52,109,23,0.1326,132.1266968,
ch01,1,13,2,10.38,87,19,0.0838,123.8663484,
ch01,1,14,3,19.04,104,25,0.1369,139.0796202,
ch01,1,14,4,19.22,102,27,0.1303,147.5057559,
ch01,1,14,5,16.33,97,26,0.0824,198.1796117,
ch01,1,14,6,15.81,84,25,0.0952,166.0714286,
ch01,1,29,7,20.03,110,27,0.1797,111.4635504,
ch01,1,29,8,28.96,119,37,0.2167,133.6409783,
ch01,1,29,9,23.85,110,33,0.1412,168.9093484,
ch01,1,30,10,19.76,104,31,0.1176,168.0272109,
ch01,1,30,11,15.48,101,24,0.0978,158.2822086,
ch01,1,30,12,21.02,103,30,0.1239,169.6529459,
ch01,1,30,13,15.06,98,24,0.0913,164.9507119,
ch01,1.2,15,15,16.85,99,28,0.1166,144.5111492,
ch01,1.2,15,16,24.72,125,34,0.1945,127.0951157,
ch01,1.2,15,17,23.02,117,33,0.2025,113.6790123
ch01,1.2,15,18,24.18,111,35,0.1835,131.7711172
ch01,1.2,15,19,14.99,80,31,0.1383,108.3875633
ch01,1.2,15,20,25.25,112,36,0.2196,114.9817851
ch01,1.2,32,21,12.47,69,27,0.1192,104.614094
ch01,1.2,32,22,30.23,120,39,0.3003,100.6660007
ch02,1,11,1,11.76,71,24,0.0764,153.9267016
ch02,1,11,2,20.92,95,33,0.1435,145.7839721
ch02,1,11,3,28.85,122,35,0.2133,135.2555087
ch02,1,25,4,21.96,105,34,0.1871,117.3703902
ch02,1,25,5,19.79,111,28,0.2223,89.02384166
ch02,1,25,6,36.09,136,41,0.2656,135.8810241
ch02,1,25,7,21.05,102,30,0.1837,114.5890038
ch02,1,45,8,28.43,151,31,0.2674,106.3201197
ch02,1,45,9,16.79,99,23,0.2017,83.24243927
ch02,1,45,10,44.92,118,49,0.4769,94.19165443
ch02,1,45,11,27.1,110,39,0.3508,77.25199544
ch02,1,45,12,37.01,158,36,0.4723,78.36121109
ch02,1,55,13,7.71,66,19,0.089,86.62921348
ch02,1,55,14,22.28,115,31,0.2694,82.70230141
ch02,1,55,15,35.34,155,35,0.2864,123.3938547
ch03,1.2,2,1,10.01,54,26,0.0551,181.6696915
ch03,1.2,2,2,20.77,93,35,0.1129,183.9681134
ch03,1.2,2,3,13.35,65,30,0.0793,168.3480454
ch03,1.2,2,4,22.12,80,42,0.1652,133.8983051
ch03,1.2,2,5,7.79,62,17,0.0474,164.3459916
ch03,1.1,19,6,28.05,114,38,0.196,143.1122449
ch03,1.1,19,7,26.97,118,36,0.1897,142.1718503
ch03,1.1,19,8,38.64,146,38,0.349,110.7163324
ch03,1.1,19,9,20.58,113,28,0.1551,132.688588
ch03,1.1,19,10,44.29,151,48,0.3963,111.7587686
ch03,1.1,19,11,15.21,79,28,0.0923,164.7887324
ch03,1.1,39,1,57.42,185,47,0.5265,109.0598291
ch03,1.1,39,2,52.32,185,46,0.4379,119.4793332
ch03,1.1,39,3,20.26,84,35,0.1556,130.2056555
ch03,1.1,39,4,23.8,97,29,0.2384,99.83221477
ch03,1.1,39,5,19.75,94,30,,
ch03,1.1,39,6,34.36,132,37,0.3309,103.8380175
ch03,1.1,50,7,55.07,170,46,0.6046,91.08501489
ch03,1.1,50,8,42.83,174,36,0.4569,93.7404246
ch03,1.1,50,9,37.34,142,39,,
ch04,1.1.1,37,1,28.77,118,31,0.279,103.1182796
ch04,1.1.1,37,2,31.86,150,30,0.4754,67.01724863
ch04,1,4,1,16.39,91,23,0.1419,115.503876
ch04,1,4,2,33.39,120,37,0.2798,119.3352395
ch04,1,4,3,44.3,149,42,0.4098,108.1015129
ch04,1,4,4,12.69,75,21,0.0988,128.4412955
ch04,1.2.1,2,1,26.2,109,34,0.2445,107.1574642
ch04,1.2.1,2,2,31.19,104,41,0.3023,103.1756533
ch04,1.2.1,2,3,30.99,120,40,0.314,98.69426752
