chamber,coreno,upper,lower,veryfine,wrlt2,wr25,wr510,wrgt10
ch01,1,0,15,2.052,1.529,0.848,0,0
ch01,1,15,30,0.186,0.314,0.051,0,0
ch01,1,30,70,0.141,0,0,0,0
ch01,2,0,15,3.027,1.651,0.135,0,0
ch01,2,15,30,0.515,0.93,1.942,0,0
ch01,2,30,70,0.325,0.551,0,0,0
ch01,3,0,15,6.488,0,0.841,10.616,0
ch01,3,15,30,0.563,0.501,0.063,0,0
ch01,3,30,70,0.239,0.092,0.142,0,0
ch01,4,0,15,2.062,1.542,1.008,0,0
ch01,4,15,30,0.347,0.201,0.161,0,0
ch01,4,30,70,0.254,0.24,0,0,0
ch01,5,0,15,4.815,0.394,0,0,0
ch01,5,15,30,0.277,0.257,0,0,0
ch01,5,30,70,0.316,0.273,0,0,0
ch02,1,0,15,1.653,1.576,0,0,0
ch02,1,15,30,0.303,0.578,0.094,0,0
ch02,1,30,70,0.383,0.5,0.299,0,0
ch02,2,0,15,1.428,1.015,0.769,0,0
ch02,2,15,30,0.288,0.366,0.352,0,0
ch02,2,30,70,0.01,0,0,0,0
ch02,3,0,15,12.274,1.521,0.573,0,0
ch02,3,15,30,1.757,1.864,0.919,0,31.57
ch02,3,30,70,0.207,0.131,0,0,0
ch02,4,0,15,1.355,1.53,0.131,1.895,0
ch02,4,15,30,0.551,0.263,0.227,0,0
ch02,4,30,70,0.078,0.012,0,0,0
ch02,5,0,15,1.494,0.96,0,0,0
ch02,5,15,30,0.36,0.051,0,0,0
ch02,5,30,70,0.065,0,0,0,0
ch03,1,0,15,14.551,0.872,0,0,0
ch03,1,15,30,0.568,0.38,0,0,0
ch03,1,30,70,0.449,0.138,0,0,0
ch03,1,70,107,0.226,0.103,0,0,0
ch03,2,0,15,5.134,4.453,1.264,0,0
ch03,2,15,30,0.604,0.443,0.261,0,0
ch03,2,30,70,0.448,0.419,0,0,0
ch03,2,70,107,0.212,0.089,0,0,0
ch03,3,0,15,1.984,1.642,0.412,0,0
ch03,3,15,30,0.753,0.527,0.302,0,0
ch03,3,30,70,0.623,0.899,0.09,0,0
ch03,3,70,111,0.402,0.244,0,0,0
ch03,4,0,15,4.618,0.982,0.33,0.506,0
ch03,4,15,30,0.515,0.314,0,1.145,0
ch03,4,30,70,0.279,0.106,0,0,0
ch03,4,70,105,0.186,0,0,0,0
ch03,5,0,15,3.04,1.029,0,0,0
ch03,5,15,30,0.456,0.228,0,0,0
ch03,5,30,70,0.706,0.754,0,0,0
ch03,5,70,92,0.197,0.194,0,0,0
ch04,1,0,15,3.555,3.067,0.252,2.836,0
ch04,1,15,30,0.934,0.504,0,0,0
ch04,1,30,70,0.195,0.113,0,0,0
ch04,2,0,15,1.701,0.872,0,0,0
ch04,2,15,30,0.673,0.315,0.443,0,0
ch04,2,30,70,0.301,0.303,0,0,0
ch04,3,0,15,6.831,3.875,0.715,0,0
ch04,3,15,30,2.013,0.766,0.242,0,0
ch04,3,30,70,0.767,1.438,1.27,0,0
ch04,4,0,15,5.98,0.6683,0,0,0
ch04,4,15,30,0.4479,0.4668,0.0973,0,0
ch04,4,30,70,0.2045,0.2699,0,0,0
ch04,5,0,15,1.4122,3.0464,0.414,0,0
ch04,5,15,30,0.6197,0.9396,0,0,0
ch04,5,30,70,0.0687,0.3688,0,0,0
ch05,1,0,15,1.0039,1.8958,1.7496,0,0
ch05,1,15,30,0.2425,0.4392,0.6867,0,0
ch05,1,30,70,0.071,0,0,0,0
ch05,2,0,15,2.601,2.214,0,0,26.358
ch05,2,15,30,0.46,1.121,1.338,0,0
ch05,2,30,70,0.562,0.832,0.435,0,0
ch05,3,0,15,2.1879,1.6922,0.131,3.4281,0
ch05,3,15,30,0.9573,1.0654,1.5992,8.0056,0
ch05,3,30,70,0.4409,0.6335,0.3738,0,0
ch05,4,0,15,4.5803,2.0062,0.9304,0,0
ch05,4,15,30,0.4653,0.5355,0,0,0
ch05,4,30,70,0.4234,0.3399,2.7989,0,0
ch05,5,0,15,0.7765,1.7365,0.6945,0,0
ch05,5,15,30,0.1707,0.5876,0.5642,0,0
ch05,5,30,70,0.1352,0.3369,0,0,0
ch06,1,0,15,6.8615,1.4698,0.7718,3.363,0
ch06,1,15,30,0.7975,0.2415,0.313,0,0
ch06,1,30,70,0.2777,0.2267,0,0,0
ch06,1,70,,0.0388,0.0817,0,0,0
ch06,2,0,15,1.7034,2.3034,0,0,0
ch06,2,15,30,0.3385,0.4269,0,0,0
ch06,2,30,70,0.2602,0.3585,0,0,0
ch06,2,70,105,0.142,0.0413,0,0,0
ch06,3,0,15,2.9042,0.7354,0.7063,1.2244,0
ch06,3,15,30,0.7565,0.4767,0.3637,0,0
ch06,3,30,70,1.357,0.7177,0.6142,0,0
ch06,3,70,102,0.9665,0.2379,0,0,0
ch06,4,0,15,6.891,1.9559,0,0,0
ch06,4,15,30,0.7942,0.7446,0,0,0
ch06,4,30,70,0.6063,1.259,1.0681,0,0
ch06,4,70,109,0.531,0.9586,2.0295,0,0
ch06,5,0,15,2.7892,2.2215,0,0,0
ch06,5,15,30,0.5555,0.3738,0,0,0
ch06,5,30,70,0.2272,0.4464,0,0,0
ch06,5,70,110,0.1205,0.006,0,0,0
ch07,1,0,15,1.797,2.9112,0.4584,0,0
ch07,1,15,30,0.3715,0.3753,0,0,0
ch07,1,30,70,0.1039,0.0772,0,0,0
ch07,2,0,15,4.896,2.0295,0.3473,0,3.1172
ch07,2,15,30,0.9399,0.6903,0,0,0
ch07,2,30,70,0.7109,0.4823,0,0,0
ch07,3,0,15,2.343,2.376,0,1.634,0
ch07,3,15,30,0.849,1.14,0.556,0,0
ch07,3,30,70,0.222,0.139,0,0,0
ch07,4,0,15,5.7885,2.137,0.1984,1.4137,0
ch07,4,15,30,1.3185,0.5624,0,0,0
