chamber,Date,leafmass,branchmass
ch01,20/2/2008,41.17,18.52
ch02,20/2/2008,106.53,75.7
ch03,20/2/2008,10,3.92
ch04,20/2/2008,424.4,422.72
ch05,20/2/2008,17.37,11.32
ch06,20/2/2008,16.51,7.09
ch07,20/2/2008,32.95,19
ch08,20/2/2008,67.72,39.11
ch09,20/2/2008,44.2,30.76
ch10,20/2/2008,28.77,12.37
ch11,20/2/2008,15.35,6.92
ch12,20/2/2008,96.21,60.11
ch13,20/2/2008,41.75,19.57
ch14,20/2/2008,58.44,20.12
ch15,20/2/2008,53.68,35.24
ch16,20/2/2008,260.59,154.31
ch17,20/2/2008,28.48,13.29
ch18,20/2/2008,171.17,77.66
ch01,10/12/2008,91.06,112.8
ch02,10/12/2008,92.06,141.33
ch03,10/12/2008,142.42,172.52
ch04,10/12/2008,161.73,226.74
ch05,10/12/2008,53.76,93.95
ch06,10/12/2008,255.64,229.37
ch07,10/12/2008,39.6,61.94
ch08,10/12/2008,253.72,377.2
ch09,10/12/2008,138.26,253.89
ch10,10/12/2008,133.01,214.1
ch11,10/12/2008,139.35,232.96
ch12,10/12/2008,123.35,156.38
ch13,12/01/2009,143.14,273.11
ch14,12/01/2009,344.73,594.46
ch15,12/01/2009,282.9,788.45
ch16,12/01/2009,299.44,559.7
ch17,12/01/2009,543.58,1120.25
ch18,10/12/2008,157.56,292.64
