chamber,layerno,branchnumber,stemnumber,oldbranchnumber,azimuthangle ,diameter,length, insertionheight,tipheight,br2order,Wleafandpetiole,WsubsampleLA,leafarea,Wnonexpleaf,Wflowerbuds,Wbrlt1,Wbrgt1,Wdeadwood,Comments
ch04,3,2,1.2.2,46,NNE,1.33,170,324,534,28,194.2,83.3,2841.62,22.8,,120.9,162.2,,
ch04,3,3,1.2.1,54,NW,1.06,230,346.5,338,19,114,,3907.15,6,,106,7.8,,
ch04,3,4,1.1.2,53,W,0.77,95,369,333,4,41.4,,1316.52,,,31.1,0,,
ch04,3,5,1.1.1,59,SE,0.95,128,348,321.5,11,91.4,,3018.6,,,70.2,0,,
ch04,4,1,1.1.1,68,S,0.95,128,434,428,8,88.9,,2758.51,,,64.2,0,,
ch04,4,2,1.1.1,65,W,0.74,97,409.5,407,4,39.7,,1290.42,,,27.7,0,,
ch04,4,3,1.2.2,60,N,0.79,113,450,482,3,84,,2929.05,3.9,,49.9,0,,
ch04,4,4,1.2.1,61,NNE,0.84,109,400.5,384.5,6,50.9,,1681.11,,,43,0,,
ch04,4,5,1.2.1,69,N,1.05,134,460,444,11,86.5,,3138.19,,,56.3,6.8,,
ch04,5,1,1.1.1,75,SW,0.93,123,497,483,7,87.9,,2928.55,,,50,0,,
ch04,5,2,1.1.1,77,W,1.35,213,515,706,24,271.7,91.2,3158.91,19.2,,143.7,103.3,,
ch04,5,3,1.1.1,79,S,1.52,188,533,698.5,23,186.9,96.4,3209.04,4.1,,127.7,73.5,,Nose
ch04,5,4,1.2.1,74,N,1.68,193,503.5,691,19,271.8,82.1,3202.19,17.4,,161.5,114.6,,
ch04,5,5,1.2.1,85,E,0.63,103,568,581,6,63.1,,2376.81,6.2,,28.1,0,,
ch05,1,1,1.1,2,N,0.7,121,172,80,5,29.2,,1183.92,,,30.2,0,,
ch05,1,2,1.2.1,1,S,1.39,182,170,248,14,73.7,,2948.01,,,11.15,53.3,,Wall
ch05,1,3,1,20,SW,2.5,285,112,265,20,333.7,70.9,3278.49,,,230.3,443.1,47.2,Wall
ch05,1,4,1,19,NE,0.67,81,104.5,30,3,24.3,,998.87,,,23.7,0,,
ch05,1,5,1,21,NW,0.95,129,121,15,5,85.2,,3624.1,,,66.5,0,,
ch05,2,1,1.2.2,16,E,1.15,144,262.5,190,9,103.4,70.4,2892.39,,,80.4,8.1,,
ch05,2,2,1.2.1,15,W,0.98,129,272.5,206,5,41.9,,1785.32,,,63.2,1.9,,
ch05,2,3,1.1,14,S,1.33,154,268,207,9,111.3,66.7,2981.65,,,104.7,42.4,,
ch05,2,4,1.1,17,N,0.76,93,293,232,7,34.9,,1329.09,,,30.2,0,,
ch05,2,5,1.2.1,13,SSW,0.99,133,253.5,195,8,54.9,,2079.44,,,68.1,0,,
ch05,3,1,1.2.2,29b,E,0.51,78,370,319,2,20,,887.53,,,10.6,0,,
ch05,3,2,1.2.2,37,SE,0.35,53,423,414.5,0,9.2,,470.57,,,3.3,0,,
ch05,3,3,1.2.1,21,S,2.77,445,335,744,54,995.8,92.7,3589.07,110.7,,739.3,1123.1,,
ch05,3,4,1.2.1,24,W,3.31,430,378,807,52,927.8,96.2,3119.55,97,,659,1518.7,,
ch05,3,5,1.1,23,WNN,0.88,108,364,333,5,52.1,,2153.22,,,45,1.7,,
ch05,4,1,1.1,44,N,1.12,172,510.5,655,16,225,117.35,3220.96,6.2,,174.4,29.9,,Growing up
ch05,4,2,1.2.1,52,S,0.71,107,546.5,570,4,44.8,,1396.85,,,29.8,0,,
ch05,4,3,1.2.1,57,SSE,0.72,118,370.5,613,6,63.4,,1923.27,,,40.3,0,,
ch05,4,4,1.1,47,NW,0.55,77,530,516,4,30.6,,859.19,,,14.23,0,,
ch05,4,5,1.2.2,47,N,0.4,69,478,458,0,11.2,,321.09,,,6.7,0,,
ch05,5,1,1.2.1,59,E,0.98,163,589.5,648,13,124,,3707.11,5.3,,93.5,6,,Cone
ch05,5,2,1.2.1,62,W,0.65,105,632.5,600,4,49.2,,1488.85,,,26,0,,
ch05,5,3,1.2.1,67,S,0.62,102,671.5,688,3,53.6,,1649.46,,,24.6,0,,
ch05,5,4,1.1,58,N,0.45,70,616,645,2,25,,741.09,,,11.3,0,,
ch05,5,5,1.2.1,70,NE,0.56,95,690,665,2,45.3,,1372.22,1.3,,19,0,,
ch06,1,1,1,25,S,0.45,72,86,20,2,13.2,,475.58,,,8.1,0,,
ch06,1,2,1,34,NW,1.02,132,130,30,8,60.3,,2289.51,,,60.2,0,,
ch06,1,3,1,37,SE,0.78,136,156.5,50,5,49.1,,1999.62,,,38.8,0,,
ch06,1,4,1,36,N,1.19,143,145.5,64,8,104.3,78,2931.48,,,69,21.5,,
ch06,1,5,1,32,E,0.99,127,116.5,10,5,82.3,,2802.19,,,51.4,0,,
ch06,2,1,1,47,E,1.29,156,264,145,8,212.7,95.2,3565.4,0.83,,124.1,17.2,,
ch06,2,2,1,45,N,1.45,163,239.5,135,8,245.5,85.5,3161.32,3.45,,164.8,20.4,,
ch06,2,3,1,39,S,0.62,98,174.5,97,4,29.4,,1260.1,,,22.4,0,,
ch06,2,4,1,44,W,1.1,142,225,120,10,89.8,,3446.65,,,61.8,6.8,,
ch06,2,5,1,49,NE,1.11,124,288,191.5,5,104.4,,3686.57,,,66.4,5.6,,
ch06,3,1,1,51,SEE,1.08,138,309,194,8,125.8,88.3,3150.4,0.8,,66.7,6.5,,
ch06,3,2,1,59,SEE,0.82,102,384.5,295,3,81.5,,2812.12,,,37.2,0,,
ch06,3,3,1,61,N,1.25,167,397,300,14,190.8,93.2,2896.11,4.4,,130.9,47.5,,
ch06,3,4,1,52,SW,0.88,121,317,208.5,5,105,,3694.86,,,51,2.6,,
ch06,3,5,1,54,SSW,1.04,130,336.5,241,6,105.5,79.9,2793.48,6.9,,71.1,5.9,,
ch06,4,1,1,67,E,0.52,108,433,352,0,28.6,,879.08,1,,14.8,0,,
ch06,4,2,1,69,S,0.94,104,446.5,366,3,98.3,,2935.54,,,48.4,0,,
ch06,4,3,1,76,E,0.8,118,502,430.5,3,59.3,,1728.19,,,40.9,0,,
ch06,4,4,1,77,N,0.9,135,516.5,437,4,46.2,,1225.65,,,56.4,0,,
ch06,4,5,1,64,W,0.78,105,411.5,341,4,46.1,,1464.84,1.7,,55.8,0,,
ch06,5,1,1,79,SW,1.74,165,539,660,14,140.9,79.5,2637.87,17.4,,129.3,85.4,,Cone
ch06,5,2,1,81,N,1.14,126,583,589,8,65.1,,2106.91,2.3,,72.2,0,,
ch06,5,3,1,84,E,0.48,81,605,568,1,25.9,,723.52,1.2,,12.9,0,,
ch06,5,4,1,88,W,1.08,137,651,673.5,11,73.6,,2419.08,11.2,,84.8,12.9,,Cone
ch06,5,5,1,90,S,0.39,101,668.5,606.5,0,19.1,,573.32,2.21,,10.5,0,,
ch07,1,1,1,31,N,1.23,119,180.5,145,15,139.9,71,3076.45,,,83.7,25.8,,
ch07,1,2,1,26,S,1.2,148,148,40,16,164.6,62.7,2659.11,,,97.5,41.8,,
ch07,1,3,1,22,SW,0.9,128,114.5,20,11,81.5,,3702.73,,,69.5,0,,
ch07,1,4,1,25,E,0.59,80,140.5,82,7,19.3,,898.75,,,15.2,0,,
ch07,1,5,1,28,S,0.67,101,161,97,9,41.9,,1860,,,25.9,0,,
ch07,2,1,1,46,W,2.48,342,285,567,41,625.6,70.3,2924.37,22.4,,322.7,495.2,,
ch07,2,2,1,39,N,1.49,153,223,180,17,181.9,73.2,2955.2,,,89.4,87.6,,
ch07,2,3,1,45,E,0.96,85,275.5,266,8,61.7,,2547.63,,,40.5,2.6,,
ch07,2,4,1,40,S,1.71,190,229,287,19,330.7,79.3,3156.57,,,130.7,139.9,,Wall
ch07,2,5,1,37,E,0.69,79,211,165,5,44.8,,1972.48,,,23.1,0,,
ch07,3,1,1,56,SSW,1.94,316,379,625,33,517.3,86.2,3380.9,23,,267.3,375,,
ch07,3,2,1,51,N,1.2,134,333,300,11,116.2,72.6,3151.21,,,89.9,8.9,,
ch07,3,3,1,52,S,2.09,303,339,562,38,567,71.12,3063.14,11.9,,264.4,331.5,,Cone
ch07,3,4,1,58,W,1.17,143,392,339,17,128.5,67.6,2915.37,,,93.3,8.5,,Wall
ch07,3,5,1,61,NE,1.33,189,424,377,27,179.1,74.6,2935.88,,,97.6,83.1,,
ch07,4,1,1,65,E,0.47,86,474,427.5,2,28.1,,999.94,,,13.5,0,,
ch07,4,2,1,74,S,1.25,192,520.5,613,22,166.3,97.4,3104.4,0.5,,119.9,63.6,,Nose
ch07,4,3,1,70,N,0.93,160,485,436,13,106.3,,3534.99,,,82.1,0,,
ch07,4,4,1,71,SW,0.68,124,487,531,8,64.8,,2254.54,,,44,0,,
ch07,4,5,1,76,SSW,1.34,193,539.5,711,20,159.8,100.4,3076.87,8.2,,114.6,82.5,,Nose
ch07,5,1,1,88,NW,0.37,82,661.5,605,1,15.9,,506.99,,,7.3,0,,
ch07,5,2,1,92,N,0.59,96,712,667,5,69.2,,2386.66,2.2,,25.6,0,,
ch07,5,3,1,91,E,0.58,99,695.5,634,3,52.3,,1723.09,,,18.4,0,,
ch07,5,4,1,90,W,0.82,123,686,673,8,75.5,,2596.21,6.7,,51.7,0,,Wall
ch07,5,5,1,86,SSW,0.94,142,633,626,13,106.7,,3487.29,4.1,,69.1,0,,
ch08,1,1,1.1,6,S,0.49,94,78,3,3,19.7,,818.01,,,11.7,0,3,
ch08,1,2,1.1,13,NW,2.43,260,137,267,34,541.7,86.5,3228.48,,,271.8,498.2,1.4,Wall
ch08,1,3,1.2,15,NE,0.71,100,134.5,78,10,33.7,,1447.26,,,35,0,,
ch08,1,4,1.2,20,E,0.57,79,176,126,6,34.4,,1285.17,,,18.9,0,,
ch08,1,5,1.1,17,S,1.09,157,170.5,73,16,112,,4452.51,,,72.4,9.9,,
ch08,2,1,1.1,29,NE,2.31,286,265.5,458,33,576.6,80.7,2988.97,5.1,,265.8,353.2,,
ch08,2,2,1.1,31,NW,1.66,201,281.5,155,23,251.5,77.4,2996.35,,,156.4,146.5,,
ch08,2,3,1.1,34,NNE,1.35,168,297,250,21,247.4,85.3,3185.11,,,111.3,56.7,,
ch08,2,4,1.2,35,S,0.71,104,294.5,231,6,63.6,,2415.65,,,31.8,0,,
ch08,2,5,1.2,33,E,1.39,200,279.5,305,23,299.3,82.1,3187.7,,,155.2,67.6,,Wall
ch08,3,1,1.2,47,SW,0.77,132,394,388,11,84.7,,3015.16,,,54.7,0,,
ch08,3,2,1.1,39,E,2.09,343,341.5,671,39,882.8,86.1,2916.83,6,,473.8,637.2,,
ch08,3,3,1.2,38,S,0.95,144,333,290,13,132.9,,4969.36,,,70.5,0,,
ch08,3,4,1.1,41,N,1.22,187,334.5,322.5,22,206.1,86.9,3095.22,,,118.6,45,,
ch08,3,5,1.2,43,W,0.5,90,367,334,3,20.1,,884.97,,,12.7,0,,
ch08,4,1,1.2,60,SE,0.71,132,487.5,485,9,75.8,,2665.41,,,51.1,0,,
ch08,4,2,1.1,66,NE,0.75,122,577.5,587.5,5,62.4,,2067.32,,,42.3,0,,
ch08,4,3,1.1,62,E,0.79,130,538,481.5,10,81.7,,2756.91,,,55,0,,
ch08,4,4,1.1,58,N,1.57,292,493.5,775.5,24,325,95.5,3161.62,19.1,,176.4,281.6,,Growing up
ch08,4,5,1.1,61,W,1.09,165,525.5,629,14,165.5,104.9,3384.82,0.9,,123.7,4.5,,Cone
ch08,5,1,1.1,70,NNE,0.96,168,630,722,14,146.9,,4693.84,10.6,,100.5,0,,Cone
ch08,5,2,1.1,69,SWW,0.9,147,611.5,626,13,131.8,,4305.88,,,79.6,0,,Cone
ch08,5,3,1.1,72,E,0.54,96,655,656,4,31.6,,1086.18,,,17.2,0,,
ch08,5,4,1.2,74,N,0.87,134,650,758,11,108.9,,3700.42,6.4,,69.5,0,,Growing up - nose
ch08,5,5,1.1,71,S,0.7,122,640.5,632.5,9,82.8,,2814.86,,,43.3,0,,Nose
ch09,1,1,1,32,SE,1.13,125,180.5,137,7,86.7,40.7,3908.8,,,66.3,8.5,,Growing tip Broken
ch09,1,2,1,25,NW,3.26,460,144.5,507,49,980.9,77.4,3140.69,12.2,,806,1318.1,,Wall
ch09,1,3,1,29,S,1.23,168,168,30,13,161.1,83.4,3673.27,,,102.6,27.3,,
ch09,1,4,1,21,E,0.56,78,83,15,2,23.5,,2292.96,,,20.8,0,,
ch09,1,5,1,23,N,1.16,124,132,90,5,33.3,,1270.54,,,57.9,10.7,,
ch09,2,1,1,35,NWW,1.09,152,201,123,11,113.5,,4747.77,,,102.5,3.3,,
ch09,2,2,1,45,E,1.99,200,293,395,22,201,82.8,3182.18,,,138.4,125.6,,
ch09,2,3,1,42,W,3.21,501,258,753,53,1453,140.8,4908.8,111.7,,1137.1,1721.1,,
ch09,2,4,1,40,N,2.58,357,241,524,39,658.6,77,2755.92,37.4,,381.4,622.1,,
ch09,2,5,1,33,S,1.65,172,187,8,8,230.1,79.1,2989.65,,,181.3,75.6,,
ch09,3,1,1,59,N,1.36,176,420.5,403.5,16,148.9,,5409.39,,,77.2,102.7,,
ch09,3,2,1,57,S,2.26,371,400.5,732,33,717.8,84.2,3047.76,19.9,,496.1,758.8,,
ch09,3,3,1,53,SE,1.23,162,359,328.5,16,124,70,3089.86,,,90.2,35.9,,
ch09,3,4,1,58,NE,1.04,139,410,373,13,81.9,,3263.26,,,77.1,0,,
ch09,3,5,1,51,NWW,2.25,422,343,751,41,928,121,4759.84,43.2,,651.3,897.6,,
ch09,4,1,1,65,SSE,1.04,137,493,519,7,64.2,,2360.77,,,83.9,0,,
ch09,4,2,1,63,SW,1.38,243,470,599,27,268.5,142.1,3300.64,7.4,,152.6,159.8,,
ch09,4,3,1,74,N,1.53,305,570,875,27,383,84.2,3080.22,18,,221,328,,Growing up
ch09,4,4,1,68,NE,0.69,115,513,490,4,45.4,,1510.73,,,29.3,0,,
ch09,4,5,1,70,NE,1.18,210,538,453,14,115.8,,3783.21,2.2,,157,9.1,,
ch09,5,1,1,78,E,0.88,158,607.5,563,8,82.1,,2803.09,3.3,,73.9,0,,
ch09,5,2,1,83,W,0.38,80,649,638,1,16,,507.9,,,8.4,0,,
ch09,5,3,1,85,S,0.91,146,671,672,11,114,,3963.38,7.8,,81.2,0,,Nose
ch09,5,4,1,79,NW,1.23,244,618,850,24,246.8,85.3,3026.77,15.5,,172.6,123.2,,Straight up - cone
ch09,5,5,1,82,NE,1.08,197,641.5,779,15,153.8,86.7,3039.7,10.1,,145.6,0,,
ch10,1,1,1,13,W,1.09,128,63.5,30,11,66.7,,3459.09,,,89.3,11.2,,
ch10,1,2,1.1,10,S,0.67,108,155.5,70,4,40.6,,1434.66,,,23.5,0,,
ch10,1,3,1.2,5,N,0.5,75,120,55,4,22.9,,747.09,,,13.1,0,,
ch10,1,4,1.2,8,E,0.46,66,139,92,4,28.1,,902.04,,,13.3,0,,
ch10,1,5,1.1,9,SW,0.75,121,146,60,3,36.2,,1220.59,,,29.4,0,,
ch10,2,1,1.1,17,NW,0.97,131,200,120,6,86.4,,3207.16,,,62.4,4,,
ch10,2,2,1.1,22,SW,1.53,160,252,184,11,158.6,78.2,3370.77,,,131.6,53.9,,
ch10,2,3,1.2,25,E,0.89,100,279.5,132,7,80,,3063.79,,,39.9,0,,
ch10,2,4,1.2,24,N,1.52,195,274,189,23,368.8,87.6,3172.02,,,134.5,108.4,,
ch10,2,5,1.2,22,SSE,0.84,117,255,206,9,58.7,,2463.6,,,41.4,1,,
ch10,3,1,1.1,33,N,2.81,460,364.5,806,46,1493.1,131.7,3992.97,142.7,,891.8,1444.6,,
ch10,3,2,1.1,36,S,1.14,155,399,365,17,178.3,86.9,3117.6,,,94.6,31.7,,
ch10,3,3,1.1,35,W,0.64,89,286.5,358,7,39,,1395.35,,,25.1,0,,
ch10,3,4,1.2,29,E,0.72,108,315,252,9,48,,1715.02,,,25.2,0,,
ch10,3,5,1.1,30,SE,1.64,249,341,324,26,504,87.2,3108.36,,1.5,271.2,168.8,,
ch10,4,1,1.2,42,N,0.62,101,410,368,3,51.1,,1732.9,,,18.4,0,,
ch10,4,2,1.2,46,NNW,0.48,91,444,383,1,23.8,,819.47,,,10.1,0,,
ch10,4,3,1.1,46,SSW,0.85,129,480,446,10,122.6,,4015.53,,,53.9,0,,
ch10,4,4,1.1,47,W,0.86,147,494.5,521,13,119.7,,3765.37,,,74.4,0,,
ch10,4,5,1.1,45,E,0.88,148,470.5,428,14,122.7,,4191.41,,,74.3,0,,
ch10,5,1,1.1,52,E,0.9,164,548,512,14,110.9,,3262.31,,,91.8,0,,
ch10,5,2,1.1,51,S,0.95,180,540,630,14,126.7,,3683.63,3.7,,99.03,0,,Nose
ch10,5,3,1.1,53,NW,0.56,99,557.5,536,5,37.3,,1128.5,,,22.1,0,,
ch10,5,4,1.1,59,W,0.43,74,606.5,586,1,19.6,,599.96,,,8.6,0,,
ch10,5,5,1.1,62,SSE,0.58,83,633,620.5,5,49.9,,1548.86,,,18.3,0,,
ch11,1,1,1.2,14,N,0.65,90,143,90,5,23.7,,779.76,,,23.5,0,,
ch11,1,2,1.1,17,S,0.63,91,169,105,8,29.1,,1208.09,,,24.1,0,,
ch11,1,3,1.2,17,E,0.72,109,165,115,9,51.1,,2975.55,,,33.3,0,,
ch11,1,4,1.1,14,W,0.6,85,143,95,6,12,,553.15,,,15.8,0,,Leaves missing
ch11,1,5,1.1,18,NW,0.94,111,172,140,8,41.7,,1753.36,,,54,0,2.2,Growing tip Broken
ch11,2,1,1.2,22,N,0.9,120,213,175,12,69.5,,2596.79,,,54.5,0,,
ch11,2,2,1.1,21,SE,1.68,273,204,353,32,372.8,69.1,2856.79,,,187.4,311.7,,Wall
ch11,2,3,1.1,25,W,0.69,105,233,201,4,22.9,,940.61,,,24.6,0,,
ch11,2,4,1.1,33,SW,1.71,180,314.5,286,26,209.7,74.8,3080.79,,,142.2,68.3,,
ch11,2,5,1.1,31,S,0.69,83,291,273,7,48.7,,1953.8,,,27.7,0,,Wall
ch11,3,1,1.1,36,NWW,1.51,175,354,302,19,187.3,72.4,3058.13,,,113.7,52.61,,
ch11,3,2,1.2,35,S,1.55,333,344,660,44,399.4,66.7,2945.14,1.6,,219.4,221.6,,
ch11,3,3,1.2,37,E,1.03,132,368,308,16,66.2,,2811.72,,,67.6,6.7,,Cone
ch11,3,4,1.2,40,N,1.04,122,405.5,360,15,126.5,73.8,3073.87,,,75.5,4.4,,
ch11,3,5,1.1,40,SWW,1.36,163,398,402,26,205,70.8,3050.39,,,121.8,40.2,,
ch11,4,1,1.1,50,NWW,0.95,121,508,365,14,99.6,,3986.93,,,64.3,0,,
ch11,4,2,1.1,53,S,0.6,104,528,486,5,46.2,,1798.17,,,20,0,,
ch11,4,3,1.2,53,E,0.76,118,514,447.5,7,81.6,,3065.29,,,40,0,,
ch11,4,4,1.2,51,N,0.88,130,501,447.5,14,119.6,79.1,2981.1,,,55.7,0,,
ch11,4,5,1.1,51,N,1.14,155,515.5,485.5,19,174.8,93.3,3577.54,,,105.3,13.3,,
ch11,5,1,1.2,66,W,0.75,119,616,518,11,66.4,,2555.48,,,44.2,0,,
ch11,5,2,1.2,69,E,0.84,116,649,612,8,94.2,,3599.04,,,52.5,0,,
ch11,5,3,1.2,70,NW,1.16,202,656.5,537,21,180.2,83.3,3250.22,3.2,,125,6.5,,
ch11,5,4,1.1,67,S,0.83,141,636,631,13,114.3,,4155.77,,,69.9,0,,
ch11,5,5,1.1,64,NE,0.82,156,611,563,11,86.9,,3628.38,,,63.9,0,,Nose
ch12,1,1,1,36,E,2.55,205,91,160,25,259.8,83.1,3052.48,0.6,,102.8,314.4,,
ch12,1,2,1,45,SE,2.7,319,155.5,377,49,763,90.7,3378.39,22.6,,329.1,591,,Sap Flow damage
ch12,1,3,1,44,W,1,120,141.5,90,9,47.5,,2091.41,,,58.9,0,,Wall
ch12,1,4,1,42,N,0.82,128,131.5,30,4,55.1,,2333.5,,,41.15,0,,Growing tip Broken
ch12,1,5,1,43,E,0.71,99,139.5,71,4,29.4,,1273.43,,,24.2,0,,
ch12,2,1,1,57,S,1.62,186,235,174,25,211,76,2902.24,,,125.8,73,,
ch12,2,2,1,59,SE,0.59,87,248,192,7,27.6,,1129.49,,,20.6,0,,
ch12,2,3,1,60,N,2.32,256,252,404,43,705,84,2816.79,,,275,436,,
ch12,2,4,1,56,SW,2.02,262,222.5,393,42,392.5,87.4,3020.81,0.7,,182.1,284.3,,Wall
ch12,2,5,1,55,SEE,0.74,87,216,165,6,40,,1653.03,,,24.76,0,,Wall
ch12,3,1,1,65,SSW,0.81,100,288.5,245.5,9,81.5,,3023.75,,,39.8,0,,
ch12,3,2,1,68,W,1.03,118,305,255,13,125,,4271.91,,,66.4,4.6,,
ch12,3,3,1,70,NE,2.11,230,318.5,252,30,357.9,98.1,3247.65,,,174.9,283.3,,
ch12,3,4,1,67,SE,0.96,113,300.5,274,12,103.9,,3694.55,,,69,0,,
ch12,3,5,1,73,S,1.11,124,344.5,342,16,145,94,3019.39,,,78.6,6.2,,
ch12,4,1,1,92,NW,0.98,131,460,539,13,94.14,,2828.14,4.04,,68.86,3.56,,
ch12,4,2,1,81,S,0.48,74,376.5,327,2,25.5,,910.34,,,11.2,0,,
