chamber,layerno,branchnumber,stemnumber,oldbranchnumber,azimuthangle ,diameter,length, insertionheight,tipheight,br2order,Wleafandpetiole,WsubsampleLA,leafarea,Wnonexpleaf,Wflowerbuds,Wbrlt1,Wbrgt1,Wdeadwood,Comments
ch15,1,2,1,34,SSE,1.83,220,175.5,276,26,314.1,70.6,3063.43,,,118.2,193.3,,
ch15,1,3,1,31,W,1.28,163,162,185,15,90.4,,3911.53,,,83.6,33.8,4.2,
ch15,1,4,1,36,E,2.53,513,187.5,421,48,770,66.3,2850.8,,,313.4,578,,Sap flow at base of branch
ch15,1,5,1,30,S,1.01,140,154,130,11,54.8,,2341.93,,,54.5,0,1.24,
ch15,2,1,1,47,SW,0.78,96,276.5,286,7,41.1,,1545.37,,,31,0,1,
ch15,2,2,1,51,NNE,1.68,222,320,429,29,418.2,89.8,3406.98,,,167.2,162.9,,
ch15,2,3,1,46,SE,2.13,252,265,397,35,556,80.6,3227.68,,,245.9,297.1,,
ch15,2,4,1,43,W,0.94,123,242.5,273,6,47.7,,1813.19,,,50.4,0,,
ch15,2,5,1,41,N,1.58,189,227.5,278,22,203.1,75.8,3043.94,,,95.3,105.9,,
ch15,3,1,1,60,SSW,1.74,205,394.5,478.5,30,343.6,86.9,3177.73,,,146.7,201.4,,
ch15,3,2,1,61,NE,2.27,283,399,650.5,42,625,75.6,2964.43,19.5,,232.2,430.2,,
ch15,3,3,1,59,SW,0.9,130,384.5,396.5,16,91.3,,3662.17,,,62.7,0,,
ch15,3,4,1,58,E,1.19,161,379.5,418.5,22,172.9,72.7,2926.32,,,86.7,26.5,,
ch15,3,5,1,55,N,1.85,240,355,465.5,36,406.1,82.7,3324.1,,,164.5,226.19,,
ch15,4,1,1,73,NE,1.73,230,501.5,714.5,31,381.8,85.4,3087.61,11,,139.3,203.4,,
ch15,4,2,1,77,SSW,0.76,111,600.5,567.5,12,75,,2931.48,,,36.6,0,,
ch15,4,3,1,83,W,0.98,135,589.5,646.5,19,115,,4323.85,,,68.1,0,,
ch15,4,4,1,80,E,1.37,184,566.5,714.5,26,223.4,88,3294.06,10.3,,116.3,53.8,,
ch15,4,5,1,78,S,1.39,181,550.5,679.5,25,213.2,87.6,3119.28,7.3,,105,54.5,,
ch15,5,1,1,87,W,0.98,135,620,694.5,17,116,82.5,3021.25,3.1,,71.5,0,,
ch15,5,2,1,88,E,0.58,82,628,659.5,3,34.4,,1290.12,,,13.8,0,,
ch15,5,3,1,90,S,0.84,115,645.5,704.5,10,78.5,,2872.86,1.5,,43.4,0,,
ch15,5,4,1,95,N,0.86,120,688,792.5,12,81.9,,2983.14,8,,59.8,0,,
ch15,5,5,1,92,E,0.74,96,664.5,709.5,7,58.3,,2057.98,2.8,,29.1,0,,
ch16,1,1,1.2,15,S,1.05,151,124.5,136,15,124.3,75.8,3103.12,,,89.2,0,,
ch16,1,2,1.1,22,S,0.48,80,170,166,5,15.6,,709.54,,,11.9,0,,
