chamber,stemnumber,branchnumber,diameter,length,heightfloor,heightground,tipheightfloor,tipheightground,comments
ch01,1,1,3.25,37,15,60,0,45,
ch01,1,2,3.39,42,17,62,0,45,
ch01,1,3,4.54,57,16,61,0,45,
ch01,1,4,3.2,40,17,62,0,45,
ch01,1,5,4.09,42,21,66,0,45,
ch01,1,6,3.15,76,22,67,0,45,
ch01,1,7,4.67,64,24,69,0,45,
ch01,1,8,5.61,44,25,70,22,67,
ch01,1,9,4.24,45,29,74,5,50,
ch01,1,10,6.96,82,30,75,0,45,
ch01,1,11,6.65,111,37,82,0,45,
ch01,1,12,7.19,96,42,87,10,55,
ch01,1,13,3,42,31,76,27,72,
ch01,1,14,8.51,123,50,95,0,45,
ch01,1,15,8.65,130,56,101,0,45,
ch01,1,16,11.99,129,60,105,0,45
ch01,1,17,7.06,88,68,113,0,45
ch01,1,18,10.37,102,72,117,33,78
ch01,1,19,9.67,126,78,123,0,45
ch01,1,20,3,48,80,125,51,96
ch01,1,21,2.19,30,87,132,70,115
ch01,1,22,5.36,94,92,137,25,70
ch01,1,23,14.05,165,103,148,8,53
ch01,1,24,3.63,72,109,154,52,97
ch01,1,25,3.24,51,118,163,78,123
ch01,1,26,9.72,110,123,168,50,95
ch01,1,27,10.12,138,129,174,44,89
ch01,1,28,4.12,74,134,179,87,132
ch01,1,29,4.7,73,142,187,78,123
ch01,1,30,6.68,110,147,192,81,126
ch01,1,31,11.25,136,156,201,73,118
ch01,1,32,7.63,103,167,212,80,125,typo fixed in branch length (RAD)
ch01,1,33,5.85,87,171,216,107,152,
ch01,1,34,14.74,147,180,225,99,144,
ch01,1,35,2.95,50,179,224,123,168,
ch01,1,36,13.87,113,186,231,150,195,
ch01,1,37,7.51,98,188,233,126,171,
ch01,1,38,10.03,115,195,240,130,175,
ch01,1,39,9.25,99,199,244,121,166,
ch01,1.1,1,13.25,137,208,253,203,248,
ch01,1.1,2,2.77,56,214,259,172,217,
ch01,1.1,3,3.19,74,217,262,149,194,
ch01,1.1,4,3.22,64,228,273,173,218,
ch01,1.1,5,5.54,78,229,274,174,219,
ch01,1.1,6,4.9,75,234,279,165,210,
ch01,1.1,7,7.55,90,238,283,164,209,
ch01,1.1,8,5.86,85,240,285,164,209,
ch01,1.1,9,7.56,113,242,287,150,195
ch01,1.1,10,5.76,84,246,291,178,223
ch01,1.1,11,7.72,104,253,298,192,237
ch01,1.1,12,7.6,105,261,306,174,219
ch01,1.1,13,8.69,101,265,310,186,231
ch01,1.1,14,9.21,113,275,320,219,264
ch01,1.1,15,12.47,156,284,329,258,303
ch01,1.1,16,12.04,142,292,337,308,353
ch01,1.1,17,9.82,126,297,342,236,281
ch01,1.1,18,13.21,122,307,352,265,310
ch01,1.1,19,12.65,144,314,359,398,443
ch01,1.1,20,5.78,91,323,368,265,310
ch01,1.1,21,5.34,82,333,378,268,313
ch01,1.1,22,9.37,113,342,387,393,438
ch01,1.1,23,6.68,75,343,388,302,347
ch01,1.1,24,9.27,118,357,402,394,439
ch01,1.1,25,6.59,93,365,410,348,393,
ch01,1.1,26,9.36,99,375,420,418,463,
ch01,1.1,27,4.41,84,385,430,338,383,
ch01,1.1,28,7.21,102,395,440,339,384,
ch01,1.1,29,5.92,90,401,446,381,426,
ch01,1.1,30,8.95,107,408,453,481,526,typo fixed in heightfloor (RAD)
ch01,1.1,31,8.04,103,413,458,479,524,
ch01,1.1,32,6.87,92,419,464,427,472,
ch01,1.1,33,6.8,95,424,469,462,507,
ch01,1.1,34,5.97,77,434,479,464,509,
ch01,1.1,35,5.61,100,440,485,457,502,
ch01,1.1,36,4.76,86,450,495,466,511,
ch01,1.1,37,3.7,58,458,503,438,483,typo fixed in branch diameter (RAD)
ch01,1.1,38,4.21,,468,513,501,546,too high to measure (estimations)
ch01,1.1,39,5.87,,482,527,483,528,too high to measure (estimations)
ch01,1.1,40,3.92,,496,541,512,557,too high to measure (estimations)
ch01,1.1,41,3.44,,504,549,495,540,too high to measure (estimations)
ch01,1.1,42,2.83,,516,561,510,555,too high to measure (estimations)
ch01,1.1,43,4.53,,524,569,507,552,too high to measure (estimations)
ch01,1.1,44,2.22,,534,579,502,547,too high to measure (estimations)
ch01,1.2,1,2.63,48,208,253,176,221,
ch01,1.2,2,3.09,53,220,265,169,214,
ch01,1.2,3,6.21,89,221,266,144,189,
ch01,1.2,4,1.95,32,224,269,190,235,typo fixed in branch diameter (RAD)
ch01,1.2,5,3.71,77,227,272,162,207,
ch01,1.2,6,4.78,70,231,276,171,216,
