chamber,branchmass,barkmass
ch01,48.93,91.2
ch02,53.67,5.46
ch03,12.97,137.87
ch04,48.74,76.13
ch05,409.48,143.27
ch06,0.6,28.86
ch07,61.44,3.31
ch08,67.91,8.73
ch09,65.15,93.42
ch10,22.7,3.72
ch11,58.52,18.18
ch12,93.6,7.67
