chamber,layerno,leafcount,leafFW,laminaFW,petioleFW,laminaarea,petioleweight,laminaweight,comments
ch01,1,100,41.51,39.3,2.21,2006,1.2,19.6,
ch01,2,94,50.9,47.9,2.55,2046,1.1,21.7,
ch01,3,94,60,56.7,3.25,2484.94,1.5,27.4,
ch01,4,126,65.3,61.5,3.6,3040.41,1.1,27.9,
ch01,5,97,80.3,75.5,4.5,3137.49,1.8,32.9,
ch02,1,85,70.4,66.4,3.5,2516.32,1.4,26.2,changed from 80 to 70g as 80 looks too high
ch02,2,100,109.2,103.1,5.32,2722.96,2.3,44.4,
ch02,3,96,109.4,103.5,5.11,3183.58,2,44,
ch02,4,98,136.5,129.2,6.7,3763.21,2.7,60.8,
ch02,5,96,114.9,107.8,5.7,3217.01,2.2,50.95,
ch03,1,116,69.6,64.1,4.86,2871.93,1.7,24.9,
ch03,2,89,67.9,62.4,4.3,2514.22,1.8,26.1,
ch03,3,86,76.1,70.9,4.8,2600.17,1.6,28.2,
ch03,4,100,101.1,94.9,5.4,3735.06,2.3,40.7,
ch03,5,100,83.4,77.5,5.3,3027.53,2.1,32.5,
ch04,1,112,73.4,69.5,2.92,3223.18,1.2,30.6
ch04,2,72,65.2,61.7,2.77,2113.55,1.2,27.1
ch04,3,119,84.9,79.6,3.66,2912.38,1.5,32.1
ch04,4,100,97.4,93,4.3,3267.77,1.6,33.9
ch04,5,100,83.7,80.1,3.3,2919.04,1.2,27.4
ch05,1,77,63.4,60.4,2.37,2840.19,1.2,29.5
ch05,2,104,79.2,76.1,2.63,3347.19,1.3,34.7
ch05,3,90,81.8,77.6,3.61,2614.4,1.1,37
ch05,4,100,101.63,96.2,5,3007.23,2.2,44
ch05,5,95,113.12,108.1,4.8,3372.67,1.7,38.7
ch06,1,81,78.9,75.2,3.25,2884.44,1.5,34.2
ch06,2,74,69.6,66.2,3.03,2593.41,1.4,31.3
ch06,3,78,77.4,73.9,3.1,2516.8,1.4,36.5
ch06,4,100,130.4,124.3,5.9,3875.94,2.7,57.4
ch06,5,95,99.5,94.6,4.5,3078.44,1.7,38.4
ch07,1,136,74.2,68.6,4.25,3266.48,1.9,29.9
ch07,2,110,75,69.9,4.05,2890.43,1.9,34.5
ch07,3,104,64.2,60.8,3.1,2689.54,1.4,30.7
ch07,4,96,72.3,68.1,3.7,2309.72,1.4,30.2
ch07,5,99,95.8,91.6,3.8,3203.99,1.4,35.5
ch08,1,167,97.6,92.5,4.35,3811.49,2,40.2
ch08,2,112,86.4,82,3.88,3194.98,1.6,39.2
ch08,3,109,89.3,84.2,4.5,3020.41,1.9,42.5
ch08,4,98,87.4,83.1,4.1,2811.12,1.7,37.3
ch08,5,100,78.3,74,4,2522.33,1.4,28.4
ch09,1,80,98.7,92.6,5.21,3856.89,2.1,41
