chamber,damage_leaf,damage_branch,branch_litter,bark_litter,harvest_branch_litter,harvest_bark_litter,removed_leaf,removed_branch
ch01,261.7,100.3,48.93,91.2,53.5,13.9,91.06,112.8
ch02,229.22,69.38,53.67,5.46,96.5,7.9,92.06,141.33
ch03,724.28,243.79,12.97,137.87,99.5,16.9,142.42,172.52
ch04,440.83,113.43,48.74,76.13,55,4,161.73,226.74
ch05,419.08,93.21,409.48,143.27,131.1,7.9,53.76,93.95
ch06,188.28,52,0.6,28.86,8.5,9.1,255.64,229.37
ch07,206.45,39.35,61.44,3.31,46.5,4.9,39.6,61.94
ch08,270.86,50.56,67.91,8.73,50.5,5.9,253.72,377.2
ch09,811.18,131.33,65.15,93.42,94.5,5.5,138.26,253.89
ch10,130.5,30.8,22.7,3.72,48.5,0.9,133.01,214.1
ch11,232.18,54.46,58.52,18.18,103.5,4.9,139.35,232.96
ch12,319.65,76,93.6,7.67,44.5,2.9,123.35,156.38
