chamber,leaflitter,woodylitter,barklitter
ch01,113.5,53.5,13.9
ch02,47.5,96.5,7.9
ch03,204.5,99.5,16.9
ch04,174.3,55,4
ch05,35.9,131.1,7.9
ch06,74.5,8.5,9.1
ch07,28.5,46.5,4.9
ch08,61.5,50.5,5.9
ch09,74.5,94.5,5.5
ch10,49.5,48.5,0.9
ch11,72.5,103.5,4.9
ch12,20.9,44.5,2.9
