species,chamber,treenumber,stemdiameter,basalarea,treeheight,nbranches1,stemdryweight,branchdryweight,wabvground,leafarea,leafmass,rootmass,unit/comments
E.saligna,ch01,2,38.07,11.38297115,320,50,401.3056391,318.65,719.9556391,5.710878,468.87,361.97,
E.saligna,ch01,54,18.37,2.650380295,109,26,37.58320805,17.91,55.49320805,0.406049,52.49,121.77,
E.saligna,ch03,43,18.8,2.775911269,110,22,39.00926309,48.87,87.87926309,1.492768,132.52,72.51,
E.saligna,ch03,1,29.3,6.742564693,260,54,187.9510261,81.7,269.6510261,2.260981,180.2,252.09,
E.saligna,ch05,30,25.74,5.203636682,252,57,148.2936611,114.97,263.2636611,2.205147,179.83,85.68,
E.saligna,ch05,41,16.77,2.208798031,114,26,32.07623161,16.82,48.89623161,0.454879,54.74,51.09,
E.saligna,ch07,2,32.81,8.452203903,270,50,277.230038,221.8,499.030038,4.173762109,386.84,,
E.saligna,ch07,37,16.76,2.206164591,140,36,39.29242459,35.26,74.55242459,1.211961,88.46,74.91,
E.saligna,ch07,1,31.86,7.969757374,280,38,161.727705,129.73,291.457705,3.783023303,254.33,,
E.saligna,ch09,1,32.71,8.403321311,262,54,188.8320782,140.73,329.5620782,3.426146911,393.668,,missing dry leaf subsample
E.saligna,ch09,2,39.98,12.55380739,306,48,327.8594732,241.85,569.7094732,3.383039471,336.06,,
E.saligna,ch11,2,40.24,12.71445921,367,54,490.3165889,477.84,968.1565889,9.000923,743.74,,
E.saligna,ch11,45,17.91,2.517900314,106,28,32.67800711,21.69,54.36800711,0.551313,60,80.42,
E.saligna,ch11,1,30.09,7.111058589,160,34,143.342286,138.6,281.942286,2.849601785,210.63,,
E.saligna,ch02,1,37.99,11.33219771,305,34,317.7218318,212.42,530.1418318,5.648896,414.84,,
E.saligna,ch02,48,14.78,1.715689722,147,30,26.67088435,29.38,56.05088435,1.042204,87.08,52.79
E.saligna,ch02,42,20.21,3.20791246,220,51,87.40894153,69.05,156.4589415,2.025578,140.54,87.05
E.saligna,ch02,2,36.77,10.61884157,280,46,285.7030404,442.66,728.3630404,9.141351,638.43,284.37
E.saligna,ch04,27,13.09,1.344736941,80,19,14.73445178,11.84,26.57445178,0.204832,43.27,49.58
E.saligna,ch06,2,37.36,10.9623488,328,47,306.8555833,154.74,461.5955833,3.165838,313.14,
E.saligna,ch08,11,23.55,4.355837849,101,23,38.08539166,17.52,55.60539166,0.408632,62.08,44.92
E.saligna,ch08,1,36.38,10.39477925,165,30,216.1807816,80.03,296.2107816,0.941843,101.32,402.7
E.saligna,ch10,1,37.64,11.12728242,240,36,199.3204235,146.11,345.4304235,3.464295,239.86,253.57
E.saligna,ch10,1S,13.08,1.342682339,130,27,20.95097757,12.04,32.99097757,0.200012,30.84,31.46
E.saligna,ch10,2,41.15,13.29932382,317,51,384.2795604,405.01,789.2895604,3.413692,641.02,
E.saligna,ch12,1,41.47,13.50371367,302,41,302.2687654,185.45,487.7187654,4.14362949,290.45,
E.saligna,ch12,46,18.86,2.793658126,110,23,16.40392053,7.05,23.45392053,0.217932,20.55,36.409
E.saligna,ch12,2,45.79,16.46403643,338,50,464.386399,664.89,1129.276399,10.177306,847.36,
E.sideroxylon,ch01,49,12.765,1.279768804,130.5,,43.19,48.76,92.89371019,0.482528,84.62,
E.sideroxylon,ch03,30,22.52,3.983149927,236,,89.52,169.15,263.2918965,1.972710627,276,
E.sideroxylon,ch05,1,31.69,7.887408965,259,,193.4,218.86,421.8856366,1.928691425,343.34,
E.sideroxylon,ch07,43,22.235,3.882971017,266,,136.7,115.46,257.150865,1.424131583,255.67
E.sideroxylon,ch09,41s,29.28,6.733362968,285,,277,168,454.1986216,2.132913617,342.65
E.sideroxylon,ch11,55,34.17,9.170221777,243,,296.35,222.28,527.6684321,2.848173887,518.22
