chamber,treenumber,branchnumber,nbranches2
ch01,2,1,9
ch01,2,2,13
ch01,2,3,18
ch01,2,4,10
ch01,2,5,10
ch01,2,6,2
ch01,54,1,0
ch01,54,2,0
ch01,54,3,1
ch01,54,4,0
ch01,54,5,1
ch01,54,6,3
ch02,1,1,4
ch02,1,2,4
ch02,1,3,7
ch02,1,4,8
ch02,1,5,5
ch02,1,6,5
ch02,48,1,0
ch02,48,2,4
ch02,48,3,1
ch02,48,4,4
ch02,48,5,4
ch02,48,6,14
ch02,42,1,5
ch02,42,2,0
ch02,42,3,0
ch02,42,4,7
ch02,42,5,6
ch02,42,6,6
ch02,2,1,8
ch02,2,2,5
ch02,2,3,14
ch02,2,4,4
ch02,2,5,12
ch02,2,6,17
ch03,43,1,0
ch03,43,2,0
ch03,43,3,2
ch03,43,4,2
ch03,43,5,3
ch03,43,6,3
ch03,1,1,2
ch03,1,2,1
ch03,1,3,
ch03,1,4,15
ch03,1,5,10
ch03,1,6,4
ch04,27,1,0
ch04,27,2,3
ch04,27,3,0
ch05,30,1,0
ch05,30,2,2
ch05,30,3,10
ch05,30,4,11
ch05,30,5,7
ch05,30,6,0
ch05,41,1,1
ch05,41,2,3
ch05,41,3,1
ch05,41,4,2
ch05,41,5,4
ch05,41,6,4
ch06,2,1,2
ch06,2,2,2
ch06,2,3,4
ch06,2,4,7
ch06,2,5,7
ch06,2,6,7
ch07,2,1,2
ch07,2,2,11
ch07,2,3,13
ch07,2,4,15
ch07,2,5,14
ch07,2,6,14
ch07,37,1,0
ch07,37,2,0
ch07,37,3,0
ch07,37,4,2
ch07,37,5,5
ch07,37,6,0
ch07,1,1,4
ch07,1,2,3
ch07,1,3,6
ch07,1,4,8
ch07,1,5,3
ch07,1,6,5
ch08,11,1,
ch08,11,2,6
ch08,11,3,5
ch08,11,4,2
ch08,11,5,3
ch08,11,6,5
ch08,1,1,1
ch08,1,2,0
ch08,1,3,0
ch08,1,4,21
ch08,1,5,5
ch08,1,6,11
ch09,1,1,0
ch09,1,2,0
ch09,1,3,9
ch09,1,4,1
ch09,1,5,8
ch09,1,6,3
ch09,2,1,0
ch09,2,2,1
ch09,2,3,2
ch09,2,4,4
ch09,2,5,11
ch09,2,6,8
ch10,1,1,6
ch10,1,2,2
ch10,1,3,12
ch10,1,4,11
ch10,1,5,15
ch10,1,6,6
ch10,1S,1,4
ch10,1S,2,4
ch10,1S,3,5
ch10,1S,4,4
ch10,1S,5,8
ch10,1S,6,5
ch10,2,1,8
ch10,2,2,5
ch10,2,3,9
ch10,2,4,10
ch10,2,5,15
ch10,2,6,13
ch11,2,1,7
ch11,2,2,11
ch11,2,3,12
ch11,2,4,8
ch11,2,5,10
ch11,2,6,10
ch11,45,1,0
ch11,45,2,0
ch11,45,3,2
ch11,45,4,0
ch11,45,5,1
ch11,45,6,1
ch11,1,1,0
ch11,1,2,12
ch11,1,3,8
ch11,1,4,2
ch11,1,5,4
ch11,1,6,5
ch12,1,1,5
ch12,1,2,4
ch12,1,3,13
ch12,1,4,14
ch12,1,5,13
ch12,1,6,6
ch12,46,1,0
ch12,46,2,1
ch12,46,3,3
ch12,46,4,1
ch12,46,5,0
ch12,46,6,0
ch12,2,1,9
ch12,2,2,5
ch12,2,3,1
ch12,2,4,21
ch12,2,5,11
ch12,2,6,10
ch14,24,1,0
ch14,24,2,3
ch14,24,3,2
ch14,24,4,4
ch14,24,5,3
ch14,24,6,3
ch16,2,1,2
ch16,2,2,8
ch16,2,3,2
ch16,2,4,6
ch16,2,5,10
ch16,2,6,3
ch16,1,1,3
ch16,1,2,4
ch16,1,3,13
ch16,1,4,14
ch16,1,5,5
ch16,1,6,8
