"treatment","boleC","branchC","leafC","litterC","leafC_litterC","aboveC","fluxC","rootC","boleC_se","branchC_se","leafC_se","litterC_se","leafC_litterC_se","aboveC_se","fluxC_se","rootC_se"
"ambient-dry",4478.2,2204.21,798.56,1241.26,2039.82,8722.24,19343.87,3180.09,644.379,540.682,299.881,394.445,293.306,1431.348,2163.235,521.032
"ambient-wet",7040.42,2709.85,1864.27,1034.69,2898.96,12649.24,23498.26,3830.63,179.565,662.312,227.651,34.666,249.201,1055.834,1682.153,330.05
"elevated-dry",3724.99,1685.9,1173.07,948,2121.07,7531.96,14612.02,2623.6,592.029,313.087,123.519,70.086,157.118,1020.178,3437.975,501.663
"elevated-wet",3620.05,1501.53,1433.23,957.49,2390.72,7512.3,15164.2,2306.13,672.303,391.725,295.863,249.487,500.775,1505.121,3246.73,735.201
