"Treatment","Bole","Branch","Leaf","Litter","Root","Tree C flux"
"aCO~2~-dry","5449.8 (715.6) b","2915.9 (654.4) a","2642.8 (370.7) a","1129.8 (336.0) a","3180.1 (521.0) a","19394.2 (2169.5) a"
"aCO~2~-wet","8109.4 (278.2) ab","3286.0 (715.7) a","3254.2 (393.5) a","1043.1 (47.3) a","3830.6 (330.1) a","23556.5 (1689.0) a"
"eCO~2~-dry","4250.6 (710.9) a","2006.3 (384.8) a","2232.1 (235.4) a","889.4 (82.6) a","2623.6 (501.7) a","14620.7 (3456.2) a"
"eCO~2~-wet","4194.1 (816.0) a","1934.2 (494.3) a","2358.3 (473.6) a","919.0 (244.3) a","2306.1 (735.2) a","15197.9 (3253.5) a"
