"","treatment","boleC","branchC","leafC","treeC","CO2","FrootC","CrootC","boleC_se","branchC_se","leafC_se","treeC_se","CO2_se","FrootC_se","CrootC_se"
"1","ambient-dry",6254.5,1986.79,722.39,8963.69,19394.24,3589.83,1839.2,928.715,498.601,257.186,1590.4,2169.493,278.286,488.735
"2","ambient-wet",9404.9,2492.84,1720.89,13618.64,23556.45,4280.66,2098.49,87.57,627.84,186.324,836.001,1688.991,603.454,102.699
"3","elevated-dry",5068.9,1534.35,1088.57,7691.83,14620.69,3005.66,1520.76,821.152,313.273,136.687,1194.89,3456.156,253.619,528.292
"4","elevated-wet",5252.26,1318.94,1276.72,7847.92,15197.93,4495.34,1037.73,904.412,362.861,282.533,1532.046,3253.478,101.333,352.84
