chamber				Chamber number
stemnumber			Stem number, allowing for different numbers for forked trees
branchnumber		Sequential branch number starting at the bottom of the stem
diameter			Branch diameter (mm)
length				Branch length (cm)
heightfloor			Height of branch base above the chamber floor (cm)
heightground		Heigth of branch base above ground surface (cm)
tipheightfloor		Height of branch tip above the chamber floor (cm)
tipheightground		Height of branch tip above the ground surface (cm)
comments
