chamber				Chamber number
stemnumber			Stem number, allowing for different numbers for forked trees
branchnumber		Sequential branch number starting at the bottom of the stem
branchorder			Order of branch (clarification needed)
nyoungleaves		Number of young leaves (definition needed)
noldleaves			Number of old leaves (")
nobranches			Number of branches (clarification needed)
secondarybranches	Clarification needed
tertiarybranches	""
comments
