chamber				Chamber number
stemnumber			Stem number, allowing for different numbers for forked trees
branchnumber		Sequential branch number starting at the bottom of the stem
leafnumber			Sequential number of leaf sample, corresponding to harvested leaf if number is present.
leafangle			Angle of leaf to horizontal (degrees)
leaflength			Length of leaf (mm)
leafwidth			Width of leaf (mm)
height				Height of leaf above chamber floor (cm)
distfromstem		Distance of leaf from main stem (cm)
comment
