"treatment","Date","CO2cum","TBCA","leafC","LAestlin","CO2_treatment","Water_treatment"
"ambient-dry",2008-04-15,50.37,50.37,0,26.4691256434192,"ambient","dry"
"ambient-dry",2008-04-16,80.17,64.11,3.06,26.5195399628286,"ambient","dry"
"ambient-dry",2008-04-17,102.34,70.21,6.13,26.5699932287954,"ambient","dry"
"ambient-dry",2008-04-18,106.68,58.22,9.45,26.6245158347746,"ambient","dry"
"ambient-dry",2008-04-19,150.73,85.94,12.78,26.6790772676109,"ambient","dry"
"ambient-dry",2008-04-20,185.83,104.71,16.11,26.7336774678173,"ambient","dry"
"ambient-dry",2008-04-21,211.33,113.87,19.45,26.7883163761474,"ambient","dry"
"ambient-dry",2008-04-22,228.26,114.46,22.78,26.8429939335928,"ambient","dry"
"ambient-dry",2008-04-23,254.6,124.58,26,26.8940578562176,"ambient","dry"
"ambient-dry",2008-04-24,284.31,138.06,29.23,26.9451798020256,"ambient","dry"
"ambient-dry",2008-04-25,312.12,149.64,32.46,26.9963596920808,"ambient","dry"
"ambient-dry",2008-04-26,376.99,198.28,35.68,27.0475974477357,"ambient","dry"
"ambient-dry",2008-04-27,428.95,234,38.92,27.0988929906298,"ambient","dry"
"ambient-dry",2008-04-28,477.79,266.6,42.16,27.1502462426875,"ambient","dry"
"ambient-dry",2008-04-29,531.26,303.83,45.4,27.2016571261167,"ambient","dry"
"ambient-dry",2008-04-30,576.53,330.24,51.26,27.298379678007,"ambient","dry"
"ambient-dry",2008-05-01,587.92,322.77,57.11,27.3952005751659,"ambient","dry"
"ambient-dry",2008-05-02,635.18,350.88,63.26,27.4968640690062,"ambient","dry"
"ambient-dry",2008-05-03,689.35,385.89,69.42,27.5986253530033,"ambient","dry"
"ambient-dry",2008-05-04,728.12,405.5,75.58,27.7004841525888,"ambient","dry"
"ambient-dry",2008-05-05,762.3,420.51,81.74,27.8024401951555,"ambient","dry"
"ambient-dry",2008-05-06,780.66,419.7,87.91,27.9044932100347,"ambient","dry"
"ambient-dry",2008-05-07,828.71,452.52,90.14,27.939914344282,"ambient","dry"
"ambient-dry",2008-05-08,875.38,483.96,92.37,27.9753501350911,"ambient","dry"
"ambient-dry",2008-05-09,921.13,514.48,94.59,28.0108005688703,"ambient","dry"
"ambient-dry",2008-05-10,960.92,539.03,96.83,28.0462656320678,"ambient","dry"
"ambient-dry",2008-05-11,974.89,537.77,99.06,28.0817453111712,"ambient","dry"
"ambient-dry",2008-05-12,1017.5,565.14,101.3,28.1172395927077,"ambient","dry"
"ambient-dry",2008-05-13,1060.62,593.03,103.53,28.1527484632437,"ambient","dry"
"ambient-dry",2008-05-14,1112.25,629.42,105.76,28.1882719093844,"ambient","dry"
"ambient-dry",2008-05-15,1159.31,661.24,108,28.2238099177739,"ambient","dry"
"ambient-dry",2008-05-16,1200.49,687.15,110.27,28.2599601913146,"ambient","dry"
"ambient-dry",2008-05-17,1243.29,714.67,112.55,28.2961250005078,"ambient","dry"
"ambient-dry",2008-05-18,1292.28,748.38,114.82,28.3323043321129,"ambient","dry"
"ambient-dry",2008-05-19,1334.1,774.92,117.1,28.3684981729269,"ambient","dry"
"ambient-dry",2008-05-20,1376.06,801.6,119.38,28.404706509785,"ambient","dry"
"ambient-dry",2008-05-21,1408.96,821.16,119.72,28.4099519776087,"ambient","dry"
"ambient-dry",2008-05-22,1444.69,843.56,120.04,28.415200360813,"ambient","dry"
"ambient-dry",2008-05-23,1487.87,873.41,120.37,28.4204516585488,"ambient","dry"
"ambient-dry",2008-05-24,1528.75,900.95,120.71,28.4257058699681,"ambient","dry"
"ambient-dry",2008-05-25,1566.02,924.89,121.04,28.4309629942233,"ambient","dry"
"ambient-dry",2008-05-26,1602.27,947.8,121.38,28.4362230304678,"ambient","dry"
"ambient-dry",2008-05-27,1639.06,971.26,121.7,28.4414859778554,"ambient","dry"
"ambient-dry",2008-05-28,1668.11,986.97,122.04,28.4467518355407,"ambient","dry"
"ambient-dry",2008-05-29,1701.51,1007.04,122.37,28.4520206026788,"ambient","dry"
"ambient-dry",2008-05-30,1742.33,1034.95,122.28,28.4505758675585,"ambient","dry"
"ambient-dry",2008-05-31,1778.74,1058.46,122.17,28.4491340402038,"ambient","dry"
"ambient-dry",2008-06-01,1785.23,1052.04,122.08,28.4476951197718,"ambient","dry"
"ambient-dry",2008-06-02,1797.06,1050.97,121.98,28.4462591054207,"ambient","dry"
"ambient-dry",2008-06-03,1793.83,1036.27,120.45,28.4228304081931,"ambient","dry"
"ambient-dry",2008-06-04,1791.65,1022.62,118.91,28.3994045650608,"ambient","dry"
"ambient-dry",2008-06-05,1804.05,1023.55,117.38,28.375981576966,"ambient","dry"
"ambient-dry",2008-06-06,1841.83,1049.86,115.85,28.3525614448523,"ambient","dry"
"ambient-dry",2008-06-07,1888.98,1085.53,114.33,28.3291441696641,"ambient","dry"
"ambient-dry",2008-06-08,1902.6,1087.68,112.8,28.3057297523467,"ambient","dry"
"ambient-dry",2008-06-09,1921.13,1094.74,111.26,28.2823181938464,"ambient","dry"
"ambient-dry",2008-06-10,1952.11,1114.25,109.73,28.2589094951103,"ambient","dry"
"ambient-dry",2008-06-11,1967.29,1117.96,108.2,28.2355036570867,"ambient","dry"
"ambient-dry",2008-06-12,2011.39,1150.59,106.67,28.2121006807246,"ambient","dry"
"ambient-dry",2008-06-13,2066.08,1193.58,105.36,28.1921211194851,"ambient","dry"
"ambient-dry",2008-06-14,2122.25,1238.05,104.06,28.1721444218081,"ambient","dry"
"ambient-dry",2008-06-15,2144.15,1248.25,102.76,28.1521705886454,"ambient","dry"
"ambient-dry",2008-06-16,2170.7,1263.1,101.46,28.13219962095,"ambient","dry"
"ambient-dry",2008-06-17,2204.08,1282.41,102.52,28.1487855804561,"ambient","dry"
"ambient-dry",2008-06-18,2250.36,1314.61,103.6,28.1653804735562,"ambient","dry"
"ambient-dry",2008-06-19,2285.22,1335.4,104.67,28.1819842952111,"ambient","dry"
"ambient-dry",2008-06-20,2297.65,1333.75,105.75,28.1985970403895,"ambient","dry"
"ambient-dry",2008-06-21,2356.67,1378.69,106.83,28.2152187040685,"ambient","dry"
"ambient-dry",2008-06-22,2410.61,1418.55,107.9,28.231849281233,"ambient","dry"
"ambient-dry",2008-06-23,2460.85,1454.71,108.98,28.248488766876,"ambient","dry"
"ambient-dry",2008-06-24,2510.77,1490.55,110.06,28.2651371559985,"ambient","dry"
"ambient-dry",2008-06-25,2560.39,1526.09,111.14,28.2817944436097,"ambient","dry"
"ambient-dry",2008-06-26,2595.62,1547.24,112.21,28.2984606247264,"ambient","dry"
"ambient-dry",2008-06-27,2638.48,1575.83,113.48,28.3181034039428,"ambient","dry"
"ambient-dry",2008-06-28,2677.75,1600.83,114.75,28.3377550667225,"ambient","dry"
"ambient-dry",2008-06-29,2715.8,1624.6,116.03,28.3574156081064,"ambient","dry"
"ambient-dry",2008-06-30,2753.72,1648.25,117.29,28.3770850231431,"ambient","dry"
"ambient-dry",2008-07-01,2791.67,1671.93,118.56,28.3967633068893,"ambient","dry"
"ambient-dry",2008-07-02,2831.51,1699.35,117.98,28.3871087586709,"ambient","dry"
"ambient-dry",2008-07-03,2871.16,1726.59,117.39,28.3774573291881,"ambient","dry"
"ambient-dry",2008-07-04,2887.7,1730.71,116.8,28.3678090176961,"ambient","dry"
"ambient-dry",2008-07-05,2915,1745.6,116.21,28.3581638234538,"ambient","dry"
"ambient-dry",2008-07-06,2940.72,1758.9,115.63,28.3485217457242,"ambient","dry"
"ambient-dry",2008-07-07,2973.79,1779.56,115.04,28.3388827837743,"ambient","dry"
"ambient-dry",2008-07-08,3012.44,1805.79,114.46,28.3292469368749,"ambient","dry"
"ambient-dry",2008-07-09,3047.8,1828.74,113.86,28.3196142043009,"ambient","dry"
"ambient-dry",2008-07-10,3078.42,1846.87,113.35,28.3113079432904,"ambient","dry"
"ambient-dry",2008-07-11,3121.49,1877.44,112.85,28.3030047951665,"ambient","dry"
"ambient-dry",2008-07-12,3152.84,1896.3,112.34,28.2947047592156,"ambient","dry"
"ambient-dry",2008-07-13,3173.5,1904.47,111.82,28.2864078347281,"ambient","dry"
"ambient-dry",2008-07-14,3199.64,1918.12,111.31,28.2781140209983,"ambient","dry"
"ambient-dry",2008-07-15,3242.21,1948.19,110.81,28.2698233173242,"ambient","dry"
"ambient-dry",2008-07-16,3283.03,1976.52,110.3,28.2615357230078,"ambient","dry"
"ambient-dry",2008-07-17,3324.64,2005.64,109.78,28.2532512373547,"ambient","dry"
"ambient-dry",2008-07-18,3359.89,2028.39,109.28,28.2449698596746,"ambient","dry"
"ambient-dry",2008-07-19,3401.62,2057.63,108.77,28.2366915892809,"ambient","dry"
"ambient-dry",2008-07-20,3424.41,2067.92,108.27,28.2284164254908,"ambient","dry"
"ambient-dry",2008-07-21,3468.17,2099.19,107.76,28.2201443676252,"ambient","dry"
"ambient-dry",2008-07-22,3509.57,2128.1,107.24,28.211875415009,"ambient","dry"
"ambient-dry",2008-07-23,3539.52,2145.55,106.74,28.2036095669707,"ambient","dry"
"ambient-dry",2008-07-24,3554.35,2147.61,106.51,28.1996249567421,"ambient","dry"
"ambient-dry",2008-07-25,3583.9,2164.39,106.28,28.1956434497597,"ambient","dry"
"ambient-dry",2008-07-26,3620.47,2188.19,106.04,28.1916650453635,"ambient","dry"
"ambient-dry",2008-07-27,3650.62,2205.57,105.81,28.1876897428968,"ambient","dry"
"ambient-dry",2008-07-28,3671.44,2213.62,105.58,28.1837175417071,"ambient","dry"
"ambient-dry",2008-07-29,3709.13,2238.54,105.35,28.1797484411453,"ambient","dry"
"ambient-dry",2008-07-30,3746.78,2262.54,105.99,28.1890892031479,"ambient","dry"
"ambient-dry",2008-07-31,3789.28,2291.39,106.64,28.1984365708127,"ambient","dry"
"ambient-dry",2008-08-01,3823.41,2311.87,107.29,28.2077905408423,"ambient","dry"
